ID,PROFIT,WIDTH,HEIGHT,COPIES
0,612,34,18,1
1,492,12,41,1
2,143,11,13,1
3,899,29,31,1
4,611,47,13,1
5,1755,45,39,1
6,2009,49,41,1
7,493,17,29,1
8,432,16,27,1
9,952,28,34,1
10,1178,38,31,1
11,748,22,34,1
12,340,34,10,1
13,1680,35,48,1
14,290,10,29,1
15,552,23,24,1
16,999,27,37,1
17,544,17,32,1
18,629,17,37,1
19,611,47,13,1
20,238,17,14,1
21,992,32,31,1
22,468,12,39,1
23,1344,48,28,1
24,196,14,14,1
25,760,40,19,1
26,1968,48,41,1
27,615,41,15,1
28,735,21,35,1
29,1054,34,31,1
30,800,32,25,1
31,198,11,18,1
32,496,31,16,1
33,1092,26,42,1
34,899,29,31,1
35,540,30,18,1
36,722,19,38,1
37,1025,41,25,1
38,1369,37,37,1
39,1056,33,32,1
