ID,PROFIT,WIDTH,HEIGHT,COPIES
0,686,49,14,1
1,552,23,24,1
2,620,31,20,1
3,429,13,33,1
4,1125,45,25,1
5,1564,34,46,1
6,814,22,37,1
7,731,17,43,1
8,580,29,20,1
9,2025,45,45,1
10,704,32,22,1
11,390,26,15,1
12,308,28,11,1
13,280,14,20,1
14,242,22,11,1
15,176,16,11,1
16,945,45,21,1
17,1710,45,38,1
18,552,12,46,1
19,759,33,23,1
20,1764,42,42,1
21,299,13,23,1
22,840,40,21,1
23,1280,32,40,1
24,748,22,34,1
25,1419,33,43,1
26,560,40,14,1
27,705,47,15,1
28,1504,32,47,1
29,406,29,14,1
30,476,28,17,1
31,180,12,15,1
32,840,35,24,1
33,1160,29,40,1
34,1296,36,36,1
35,1224,36,34,1
36,630,14,45,1
37,1517,41,37,1
38,242,11,22,1
39,363,11,33,1
