ID,PROFIT,WIDTH,HEIGHT,COPIES
0,640,40,16,1
1,920,23,40,1
2,1617,33,49,1
3,416,13,32,1
4,594,27,22,1
5,1170,30,39,1
6,252,12,21,1
7,255,15,17,1
8,266,19,14,1
9,1369,37,37,1
10,1886,41,46,1
11,672,16,42,1
12,1064,28,38,1
13,504,42,12,1
14,1935,45,43,1
15,380,20,19,1
16,1410,47,30,1
17,238,14,17,1
18,360,18,20,1
19,697,17,41,1
20,1312,41,32,1
21,300,15,20,1
22,1260,42,30,1
23,1290,43,30,1
24,228,19,12,1
25,195,15,13,1
26,768,24,32,1
27,1849,43,43,1
28,546,13,42,1
29,816,34,24,1
30,980,20,49,1
31,1710,38,45,1
32,450,10,45,1
33,575,25,23,1
34,1394,34,41,1
35,399,21,19,1
36,740,37,20,1
37,880,40,22,1
38,308,14,22,1
39,468,18,26,1
