ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1189,41,29,1
1,476,17,28,1
2,672,28,24,1
3,432,12,36,1
4,1080,36,30,1
5,390,15,26,1
6,624,48,13,1
7,1332,36,37,1
8,1568,49,32,1
9,336,21,16,1
10,595,35,17,1
11,1020,34,30,1
12,528,11,48,1
13,480,12,40,1
14,330,22,15,1
15,440,20,22,1
16,150,10,15,1
17,870,29,30,1
18,650,26,25,1
19,280,10,28,1
20,1692,47,36,1
21,782,23,34,1
22,1296,36,36,1
23,936,39,24,1
24,682,31,22,1
25,928,29,32,1
26,884,34,26,1
27,1596,38,42,1
28,903,43,21,1
29,1978,43,46,1
30,630,42,15,1
31,1890,45,42,1
32,770,35,22,1
33,880,22,40,1
34,2303,49,47,1
35,160,16,10,1
36,507,39,13,1
37,777,21,37,1
38,624,48,13,1
39,1215,27,45,1
