ID,PROFIT,WIDTH,HEIGHT,COPIES
0,672,28,24,1
1,385,11,35,1
2,714,34,21,1
3,1485,45,33,1
4,420,35,12,1
5,882,42,21,1
6,2024,46,44,1
7,777,21,37,1
8,774,43,18,1
9,952,34,28,1
10,1092,28,39,1
11,899,29,31,1
12,160,16,10,1
13,1160,40,29,1
14,665,19,35,1
15,782,46,17,1
16,304,16,19,1
17,1144,44,26,1
18,224,14,16,1
19,1240,31,40,1
20,378,27,14,1
21,988,38,26,1
22,1334,29,46,1
23,180,15,12,1
24,300,20,15,1
25,1334,29,46,1
26,713,23,31,1
27,384,12,32,1
28,539,11,49,1
29,323,19,17,1
30,1152,24,48,1
31,672,48,14,1
32,702,27,26,1
33,1066,41,26,1
34,1496,44,34,1
35,247,19,13,1
36,598,23,26,1
37,1394,41,34,1
38,756,18,42,1
39,390,26,15,1
