ID,PROFIT,WIDTH,HEIGHT,COPIES
0,612,34,18,1
1,1029,49,21,1
2,702,18,39,1
3,459,27,17,1
4,420,30,14,1
5,360,24,15,1
6,1776,37,48,1
7,651,21,31,1
8,375,15,25,1
9,1462,34,43,1
10,1444,38,38,1
11,1225,25,49,1
12,704,16,44,1
13,748,17,44,1
14,952,28,34,1
15,399,21,19,1
16,400,16,25,1
17,1540,35,44,1
18,1125,45,25,1
19,864,27,32,1
20,276,12,23,1
21,297,27,11,1
22,504,12,42,1
23,204,17,12,1
24,550,25,22,1
25,1806,42,43,1
26,270,10,27,1
27,364,13,28,1
28,1085,31,35,1
29,270,10,27,1
30,1089,33,33,1
31,1170,39,30,1
32,560,35,16,1
33,319,11,29,1
34,286,11,26,1
35,1568,32,49,1
36,280,20,14,1
37,874,23,38,1
38,1012,23,44,1
39,352,22,16,1
