ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1175,25,47,1
1,540,30,18,1
2,1320,44,30,1
3,630,30,21,1
4,418,19,22,1
5,646,17,38,1
6,810,30,27,1
7,500,20,25,1
8,980,35,28,1
9,396,22,18,1
10,1100,25,44,1
11,1176,49,24,1
12,940,47,20,1
13,570,19,30,1
14,518,14,37,1
15,506,46,11,1
16,2205,49,45,1
17,400,16,25,1
18,360,20,18,1
19,720,40,18,1
20,783,29,27,1
21,410,41,10,1
22,638,22,29,1
23,520,40,13,1
24,255,15,17,1
25,200,10,20,1
26,1008,36,28,1
27,1400,40,35,1
28,988,38,26,1
29,450,18,25,1
30,286,13,22,1
31,860,43,20,1
32,1472,46,32,1
33,672,32,21,1
34,1118,26,43,1
35,252,18,14,1
36,1075,43,25,1
37,1296,48,27,1
38,1584,36,44,1
39,299,23,13,1
