ID,WIDTH,HEIGHT,PROFIT,COPIES
0,31,36,1032,3
1,22,29,693,6
2,27,68,1932,3
3,35,32,1402,1
4,36,60,2996,1
5,15,10,92,5
6,36,76,4066,3
7,9,62,338,3
8,30,11,392,2
9,22,28,573,6
10,27,31,727,5
11,25,28,426,4
12,29,61,2174,6
13,6,76,332,1
14,5,57,240,9
15,5,51,168,2
16,17,45,734,7
17,18,39,936,9
18,18,75,1301,1
19,24,18,460,9
20,36,33,671,9
21,7,24,231,8
22,31,29,581,5
23,5,72,411,4
24,7,45,305,8
25,23,50,1347,4
26,25,61,1106,7
27,28,36,1188,6
28,8,66,530,3
29,25,17,544,3
30,20,67,1520,9
31,11,64,1046,9
32,39,30,887,3
33,32,48,1196,5
34,7,61,553,8
35,6,55,237,2
36,19,77,2067,5
37,24,33,986,8
38,40,44,1779,8
39,34,52,1117,7
40,34,59,2410,1
41,9,25,228,1
42,29,64,2579,7
43,30,66,2110,3
44,31,63,1574,6
45,21,50,1458,7
46,34,48,1165,4
47,10,33,273,5
48,36,73,1598,3
49,12,61,451,5
