ID,WIDTH,HEIGHT,PROFIT
0,436,1490,129928
1,232,1320,30624
2,236,932,32993
3,822,638,68177
4,1004,1094,153773
5,268,1222,39300
6,632,894,73451
7,1110,346,80653
8,598,532,133617
9,658,922,194136
10,732,1830,281308
11,822,1740,357570
12,932,1106,206158
13,598,732,61283
14,568,1322,112634
15,1792,1006,306468
16,1248,746,139651
17,932,892,91448
18,364,184,8707
19,378,200,11340
20,410,166,10209
21,426,148,7566
22,426,296,20175
23,436,116,10115
24,464,1006,102692
25,520,206,24638
26,520,350,43680
27,540,530,71550
28,548,1414,154974
29,548,1882,144387
30,554,496,32974
31,554,758,54591
32,556,496,55155
33,558,658,51403
34,560,474,29198
35,572,592,44021
36,532,976,77885
37,542,1176,101983
38,552,1574,147704
39,562,1390,195295
40,572,1490,230116
41,582,1590,138807
42,592,1690,190091
43,602,1030,74407
44,728,1722,313404
45,1528,1448,287631
46,1858,2648,639598
47,1724,466,104440
48,928,1674,233021
49,2028,932,378019
50,1026,1636,352493
51,758,746,135712
52,928,916,153009
53,2006,564,147080
54,1028,1894,292055
55,1376,1932,372180
56,726,1750,215985
57,2098,946,357247
58,1238,1206,283675
59,1026,768,157594
60,1738,932,178180
61,998,2532,379040
62,1968,2422,619644
63,2828,1944,604740
64,1536,1788,329564
65,436,732,60639
66,732,822,72204
67,636,932,148188
68,822,598,108142
69,1004,568,114054
70,469,792,78004
71,932,648,120787
72,2110,932,275313
73,598,562,63854
74,654,722,70828
75,924,3724,412917
76,1490,1830,354471
77,1320,1740,367488
78,932,2100,352296
79,638,732,93403
80,1094,1322,303716
81,1222,2406,735033
82,894,746,200077
83,546,892,150980
84,532,2136,318179
85,452,646,84678
86,724,1268,192787
87,922,674,149143
88,824,632,119777
89,724,938,101867
90,754,448,40535
91,922,316,37876
92,2006,894,269005
93,578,1932,156337
94,724,1750,190050
95,1976,944,298455
96,1236,1206,268311
97,1228,766,159910
98,1738,932,323963
99,992,2532,527466
100,560,2422,189885
101,720,1942,209736
102,1534,784,192425
103,644,1232,238022
104,1026,896,229824
105,234,248,12767
106,542,126,14341
107,236,542,19187
108,128,122,2499
109,1024,2788,542433
110,9098,8726,15877830
111,5468,3524,4046539
112,1264,4522,800213
113,2354,1294,456911
114,1696,2546,561342
115,2546,5004,1911028
116,586,894,83821
117,564,894,70590
118,564,1022,97989
119,1254,2014,454600
120,2014,1254,479856
121,1254,1298,325538
122,2350,2366,834015
123,2502,2506,1003202
124,1296,2366,398624
125,298,132,9834
126,352,128,6758
127,438,830,90885
128,122,740,13542
129,332,1104,73306
130,498,732,51035
131,268,328,16702
132,794,108,21438
133,248,644,22360
134,532,394,54498
135,162,384,8709
136,478,216,12390
137,210,266,12848
138,326,148,5790
139,926,296,35632
140,1436,136,27341
141,1064,1206,243805
142,726,602,78669
143,322,356,22926
144,146,230,5709
145,644,114,9544
146,574,778,111643
147,254,392,14935
148,458,626,100348
149,626,196,17177
