ID,WIDTH,HEIGHT,PROFIT
0,436,1490,129928
1,232,1320,70435
2,236,932,32993
3,822,638,62932
4,1004,1092,109637
5,266,1220,81130
6,632,892,169123
7,1110,344,133644
8,598,532,76353
9,658,921,157565
10,732,1830,361681
11,822,1740,357570
12,932,1106,237082
13,598,732,96302
14,568,1322,112634
15,1792,1006,288440
16,1248,746,130341
17,932,892,108075
18,562,1030,69463
19,722,1720,136602
20,1526,1448,441930
21,1858,2644,1031636
22,1726,464,200216
23,928,1672,496517
24,2028,932,453623
25,1028,1636,319544
26,756,748,101788
27,926,916,135715
28,2006,564,282846
29,1028,1894,292055
30,1376,1932,319012
31,726,1750,165165
32,2098,946,258012
33,1238,1208,224326
34,1026,768,94556
35,1734,932,323218
36,994,2532,553698
37,1966,2422,1142796
38,2828,1946,1155690
39,1536,1788,357028
40,436,732,47873
41,732,822,96273
42,636,932,100768
43,822,598,88480
44,1004,568,102649
45,464,794,47894
46,932,648,72472
47,2110,934,216781
48,598,562,50411
49,656,726,76201
50,926,3726,586547
51,1490,1830,436272
52,1320,1740,459360
53,932,2100,391440
54,636,732,139666
55,1094,1324,289691
56,1222,2408,617941
57,894,748,100307
58,548,894,78386
59,532,2138,216109
60,452,642,46429
61,722,1264,146017
62,924,674,93416
63,824,632,67700
64,724,936,169416
65,754,446,114337
66,922,316,93233
67,2002,892,589309
68,576,1932,344978
69,726,1750,355740
70,1974,944,540402
71,1234,1206,401815
72,1224,766,225020
73,1734,932,161609
74,994,2532,276849
75,564,2422,341502
76,722,1944,168428
77,1536,788,157348
78,648,1232,199584
79,1024,894,164782
80,236,248,11120
81,542,126,10927
82,236,542,25582
83,128,128,3441
84,1026,2788,514888
85,9098,8726,12702264
86,5468,3524,4046539
87,1264,4524,1258034
88,2354,1298,702763
89,1698,2542,776937
90,2542,5004,2416832
91,582,894,78046
92,566,894,80961
93,564,1022,115282
94,1254,2014,479856
95,2012,1254,277535
96,1256,1298,195635
97,2350,2366,722813
98,2502,2502,1189401
99,1296,2366,613267
