ID,WIDTH,HEIGHT,PROFIT
0,28,80,448
1,48,188,1354
2,256,358,14664
3,444,566,60313
4,2588,254,230073
5,256,4502,276603
6,2002,322,135375
7,3028,1002,1001238
8,802,654,104902
9,364,388,28246
10,532,2490,132468
11,534,2320,185832
12,536,632,47425
13,522,436,29587
14,904,2098,208625
15,764,2224,203896
16,832,392,42399
17,2110,5548,1873005
18,698,232,24290
19,456,322,20556
20,1532,1490,342402
21,1532,1320,323558
22,1534,1632,450628
23,1522,1436,371551
24,1904,1098,271777
25,1764,1224,345462
26,1832,1392,382522
27,1110,1548,412387
28,1698,1232,460226
29,1456,1322,461960
30,3532,1490,1315670
31,3532,1320,1072315
32,3536,1632,1154150
33,3522,1436,1011518
34,3904,1098,857318
35,3764,1224,1151784
36,3832,1392,1280195
37,3110,1548,1010999
38,3698,1232,1002306
39,3456,1322,822390
40,1532,2490,724789
41,1532,2320,604221
42,1532,2632,645156
43,1522,2436,556139
44,1904,2098,998648
45,1764,2224,1020015
46,1832,2392,1270822
47,1110,2548,791918
48,1698,2232,757987
49,1456,2322,676166
50,436,1490,136424
51,232,1320,70435
52,236,932,46190
53,822,636,125470
54,1004,1094,274594
55,2694,1220,854537
56,632,894,129952
57,1110,346,84493
58,598,532,63627
59,658,920,121072
60,730,1830,267180
61,822,1740,343267
62,932,1108,154898
63,598,732,100679
64,562,1322,111445
65,1794,1008,434004
66,1248,748,140026
67,936,892,125237
68,362,182,1054
69,378,200,10584
70,410,164,8069
71,424,148,8158
72,426,296,21436
73,438,116,12702
74,464,1006,116696
75,520,206,24638
76,520,350,38220
77,540,530,60102
78,548,1412,162493
79,548,1882,247521
80,552,496,76662
81,554,754,83543
82,556,496,27578
83,558,654,51090
84,570,478,40869
85,572,592,54180
86,574,978,95433
87,576,1176,121928
88,578,1574,172857
89,580,1390,145116
90,590,1490,158238
91,600,1590,181260
92,620,1690,209560
93,662,1034,136902
94,724,1724,249635
95,1526,1446,441319
96,1858,2648,1131596
97,1728,464,184412
98,928,1674,388368
99,2028,932,453623
100,1022,1638,200884
101,752,746,140248
102,926,916,169643
103,2006,566,227079
104,1024,1892,387482
105,1376,1932,531686
106,724,1750,253400
107,2098,946,595412
108,1238,1204,447166
109,1026,764,235159
110,1736,932,485386
111,996,2532,529593
112,1966,2422,523782
113,2828,1942,659037
114,1534,1788,356563
115,432,738,44634
116,732,822,90256
117,636,932,88913
118,822,598,78649
119,1004,568,85541
120,466,792,92268
121,932,648,120787
122,2110,932,412969
123,598,562,63854
124,658,726,85987
125,924,3722,481478
126,1490,1830,436272
127,1320,1740,27562
128,932,2100,254436
129,638,732,60712
130,1094,1322,188015
131,1222,2402,381582
132,894,746,86700
133,544,894,63224
134,532,2132,147449
135,452,642,37724
136,724,1264,183027
137,928,678,132129
138,828,632,73261
139,724,938,101867
140,754,444,63607
141,928,316,61582
142,2006,894,358673
143,576,1932,233695
144,726,1750,165165
145,1974,946,298785
146,1238,1206,223954
147,1228,762,140360
148,1732,932,258276
149,992,2532,401879
150,562,2420,217606
151,724,1944,225193
152,1538,788,169672
153,648,1232,119750
154,1026,892,137279
155,2366,248,70412
156,542,128,9019
157,236,542,20466
158,128,1266,25928
159,1026,2786,457350
160,9096,8726,11905754
161,5468,3524,2312308
162,1266,4526,744889
163,2354,1296,396602
164,2694,2548,1098290
165,2544,5004,2036828
166,586,894,78583
167,568,898,71409
168,564,1022,80697
169,1254,2016,404490
170,2016,1254,379210
171,1258,1298,261261
172,2350,2364,666648
173,2504,2504,1128603
174,1296,2366,582604
175,298,132,7080
176,358,124,8434
177,438,830,65437
178,122,740,17153
179,332,1108,44143
180,498,732,47390
181,266,326,13007
182,796,106,18563
183,248,646,19225
184,536,396,53064
185,1666,1388,554978
186,478,218,21883
187,210,268,11256
188,2322,148,65295
189,2924,296,155791
190,1438,136,33247
191,1064,1206,205309
192,1728,602,156038
193,322,2358,106299
194,148,230,5446
195,648,2116,205675
196,1578,1776,448404
197,1254,394,98815
198,1458,626,164287
199,624,196,23238
