ID,X,Y,Z,PROFIT,COPIES
0,27,27,70,51230,1
1,30,43,56,72440,1
2,6,21,56,7256,1
3,51,37,91,171917,1
4,66,56,86,318056,1
5,27,27,70,51230,1
6,30,43,56,72440,1
7,6,21,56,7256,1
8,51,37,91,171917,1
9,66,56,86,318056,1
10,27,27,70,51230,1
11,30,43,56,72440,1
12,6,21,56,7256,1
13,51,37,91,171917,1
14,66,56,86,318056,1
15,27,27,70,51230,1
16,30,43,56,72440,1
17,6,21,56,7256,1
18,51,37,91,171917,1
19,66,56,86,318056,1
20,27,27,70,51230,1
21,30,43,56,72440,1
22,6,21,56,7256,1
23,51,37,91,171917,1
24,66,56,86,318056,1
25,27,27,70,51230,1
26,30,43,56,72440,1
27,6,21,56,7256,1
28,51,37,91,171917,1
29,66,56,86,318056,1
30,27,27,70,51230,1
31,30,43,56,72440,1
32,6,21,56,7256,1
33,51,37,91,171917,1
34,66,56,86,318056,1
35,27,27,70,51230,1
36,30,43,56,72440,1
37,6,21,56,7256,1
38,51,37,91,171917,1
39,66,56,86,318056,1
