ID,X,Y,Z,PROFIT,COPIES
0,95,97,55,507025,1
1,94,65,47,287370,1
2,94,78,27,198164,1
3,80,62,56,277960,1
4,88,76,59,394792,1
5,95,97,55,507025,1
6,94,65,47,287370,1
7,94,78,27,198164,1
8,80,62,56,277960,1
9,88,76,59,394792,1
10,95,97,55,507025,1
11,94,65,47,287370,1
12,94,78,27,198164,1
13,80,62,56,277960,1
14,88,76,59,394792,1
15,95,97,55,507025,1
16,94,65,47,287370,1
17,94,78,27,198164,1
18,80,62,56,277960,1
19,88,76,59,394792,1
20,95,97,55,507025,1
21,94,65,47,287370,1
22,94,78,27,198164,1
23,80,62,56,277960,1
24,88,76,59,394792,1
25,95,97,55,507025,1
26,94,65,47,287370,1
27,94,78,27,198164,1
28,80,62,56,277960,1
29,88,76,59,394792,1
30,95,97,55,507025,1
31,94,65,47,287370,1
32,94,78,27,198164,1
33,80,62,56,277960,1
34,88,76,59,394792,1
35,95,97,55,507025,1
36,94,65,47,287370,1
37,94,78,27,198164,1
38,80,62,56,277960,1
39,88,76,59,394792,1
