ID,PROFIT,WIDTH,HEIGHT,COPIES
0,532,28,19,2
1,1591,37,43,4
2,594,22,27,4
3,1410,47,30,3
4,546,39,14,3
5,247,19,13,2
6,1008,36,28,3
7,855,19,45,2
8,352,11,32,3
9,510,30,17,3
10,1776,37,48,4
11,585,45,13,4
12,420,30,14,2
13,1080,30,36,4
14,100,10,10,1
15,2115,45,47,2
16,792,18,44,1
17,529,23,23,4
18,1260,30,42,4
19,1015,29,35,1
20,1519,49,31,2
21,169,13,13,2
22,624,16,39,3
23,288,24,12,1
24,608,16,38,4
25,504,42,12,3
26,728,26,28,3
27,684,36,19,1
28,196,14,14,2
29,672,16,42,4
30,1419,43,33,1
31,528,16,33,2
32,860,43,20,1
33,297,27,11,3
34,936,24,39,2
35,180,18,10,1
36,544,32,17,4
37,494,19,26,2
38,1125,25,45,3
39,1386,33,42,4
40,616,22,28,2
41,779,41,19,1
42,1476,36,41,3
43,396,33,12,4
44,1978,46,43,4
45,408,24,17,3
46,1406,38,37,2
47,408,24,17,3
48,2156,49,44,3
49,1029,49,21,4
