ID,PROFIT,WIDTH,HEIGHT,COPIES
0,475,25,19,2
1,1242,27,46,3
2,1280,40,32,4
3,418,11,38,2
4,968,22,44,3
5,204,12,17,3
6,420,30,14,3
7,783,27,29,3
8,918,27,34,2
9,903,43,21,4
10,1080,24,45,4
11,1334,46,29,1
12,195,13,15,3
13,660,22,30,1
14,418,38,11,2
15,1332,37,36,2
16,290,29,10,4
17,928,29,32,1
18,1100,25,44,3
19,2209,47,47,2
20,828,46,18,1
21,748,44,17,2
22,1394,41,34,1
23,903,43,21,3
24,380,19,20,2
25,1107,41,27,3
26,180,12,15,3
27,578,17,34,4
28,585,39,15,2
29,1677,39,43,4
30,420,35,12,1
31,390,10,39,2
32,900,30,30,1
33,774,43,18,2
34,288,16,18,3
35,957,33,29,4
36,494,19,26,1
37,1026,27,38,3
38,312,24,13,4
39,1100,44,25,1
40,400,16,25,4
41,1334,46,29,1
42,594,33,18,4
43,1353,33,41,4
44,270,10,27,4
45,442,34,13,3
46,435,29,15,3
47,420,21,20,3
48,1020,34,30,1
49,585,45,13,2
