ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1508,58,26,1
1,3763,71,53,1
2,2014,38,53,1
3,2340,36,65,2
4,2376,33,72,3
5,2714,46,59,2
6,3304,59,56,1
7,4071,69,59,1
8,1302,31,42,2
9,1815,55,33,3
10,1377,51,27,1
11,3111,61,51,1
12,2948,44,67,2
13,4189,59,71,1
14,2277,69,33,2
15,5041,71,71,1
16,1643,31,53,1
17,2108,68,31,2
18,1025,25,41,4
19,1728,32,54,2
20,2640,48,55,1
21,5180,70,74,1
22,2046,33,62,2
23,2714,59,46,1
24,806,26,31,7
25,4209,69,61,1
26,1242,46,27,1
27,999,27,37,5
28,2310,66,35,1
29,1190,34,35,2
30,2597,49,53,1
31,1512,36,42,1
32,3315,65,51,1
33,1914,58,33,2
34,2236,43,52,2
35,1705,55,31,2
36,3782,61,62,1
37,3000,50,60,2
38,2318,61,38,2
39,2256,47,48,3
40,3922,53,74,1
41,2491,53,47,1
42,3339,63,53,1
43,2280,38,60,2
44,2294,37,62,2
45,2912,56,52,1
46,1260,30,42,2
47,1400,50,28,4
48,1767,57,31,3
49,2432,38,64,2
