ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1365,35,39,3
1,3808,68,56,1
2,1428,51,28,2
3,1566,29,54,2
4,1716,26,66,3
5,1798,62,29,2
6,2793,49,57,2
7,1682,29,58,1
8,2006,59,34,1
9,1764,49,36,3
10,1302,42,31,3
11,3000,50,60,1
12,1836,34,54,2
13,1170,26,45,3
14,2080,40,52,1
15,1755,65,27,1
16,2666,43,62,2
17,1500,50,30,6
18,2812,74,38,1
19,3050,50,61,1
20,1728,36,48,2
21,3968,64,62,1
22,1568,28,56,2
23,2679,47,57,2
24,3358,46,73,2
25,1625,25,65,2
26,4968,72,69,1
27,3456,54,64,1
28,1457,31,47,1
29,2628,73,36,1
30,1584,44,36,3
31,2210,65,34,2
32,2001,69,29,3
33,3150,50,63,1
34,1950,50,39,2
35,2030,29,70,2
36,2928,61,48,2
37,3864,56,69,1
38,1734,51,34,2
39,2774,73,38,1
40,2068,44,47,2
41,2030,70,29,1
42,1247,43,29,5
43,2070,30,69,1
44,2112,44,48,3
45,5402,73,74,1
46,1638,26,63,1
47,1890,45,42,1
48,1764,49,36,2
49,3245,59,55,1
