ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1482,39,38,3
1,4958,74,67,1
2,4757,67,71,1
3,2343,71,33,3
4,1240,40,31,2
5,1400,25,56,1
6,3990,57,70,1
7,1122,33,34,3
8,1798,58,31,1
9,2501,41,61,2
10,1428,51,28,3
11,1568,56,28,3
12,4608,64,72,1
13,2030,58,35,1
14,2701,37,73,1
15,3942,54,73,1
16,2754,51,54,1
17,1701,63,27,1
18,1512,28,54,1
19,1690,26,65,1
20,1725,69,25,3
21,1296,27,48,1
22,1488,48,31,4
23,1056,32,33,8
24,4608,72,64,1
25,1798,31,58,3
26,3408,71,48,2
27,1312,32,41,3
28,1302,31,42,1
29,1500,60,25,1
30,1092,42,26,1
31,1152,36,32,4
32,4402,71,62,1
33,950,38,25,6
34,2584,38,68,1
35,1770,30,59,1
36,2714,46,59,2
37,3100,62,50,1
38,1184,37,32,5
39,2340,45,52,2
40,2508,66,38,1
41,1568,28,56,1
42,2814,67,42,1
43,806,26,31,9
44,4970,70,71,1
45,1749,33,53,1
46,2982,42,71,2
47,4380,73,60,1
48,1656,36,46,3
49,3692,71,52,1
