ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1380,46,30,3
1,4380,60,73,1
2,4347,63,69,1
3,3168,72,44,2
4,3672,54,68,1
5,1924,37,52,1
6,3190,55,58,1
7,2484,36,69,2
8,1845,45,41,1
9,1015,35,29,6
10,4144,56,74,1
11,2408,43,56,1
12,2814,42,67,2
13,3195,45,71,2
14,1863,69,27,1
15,2760,40,69,2
16,3484,67,52,1
17,2688,56,48,2
18,1484,28,53,3
19,1275,51,25,1
20,1188,27,44,4
21,1188,33,36,2
22,1066,26,41,3
23,3220,46,70,1
24,3256,44,74,2
25,1147,31,37,3
26,4402,71,62,1
27,1280,32,40,3
28,2870,70,41,2
29,754,26,29,9
30,1624,28,58,1
31,2120,40,53,2
32,2485,71,35,1
33,3432,52,66,1
34,2552,58,44,1
35,783,27,29,6
36,4095,65,63,1
37,3953,59,67,1
38,1560,40,39,4
39,2279,43,53,2
40,1800,40,45,3
41,2301,59,39,2
42,3960,60,66,1
43,2814,42,67,2
44,3105,69,45,2
45,1610,35,46,2
46,1425,25,57,1
47,1120,32,35,5
48,2112,48,44,1
49,3266,71,46,1
