ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1850,37,50,1
1,1925,55,35,2
2,2478,59,42,1
3,1848,28,66,3
4,1734,34,51,2
5,2632,56,47,2
6,1674,27,62,3
7,1904,56,34,2
8,3366,66,51,1
9,2010,30,67,2
10,2448,48,51,2
11,1716,52,33,3
12,1892,44,43,3
13,1638,63,26,3
14,2496,52,48,2
15,4588,74,62,1
16,1419,43,33,5
17,1725,25,69,2
18,3534,62,57,1
19,2592,36,72,1
20,4080,60,68,1
21,2052,54,38,2
22,2236,43,52,1
23,1848,42,44,3
24,3283,49,67,2
25,1960,28,70,2
26,4488,66,68,1
27,1320,33,40,4
28,3968,64,62,1
29,2623,61,43,2
30,1525,25,61,1
31,676,26,26,3
32,3780,60,63,1
33,2200,40,55,2
34,2220,74,30,1
35,2664,72,37,2
36,3780,63,60,1
37,1701,63,27,1
38,1664,26,64,1
39,2580,43,60,1
40,1917,71,27,3
41,3550,71,50,2
42,5402,74,73,1
43,1830,61,30,2
44,1677,43,39,2
45,2145,55,39,2
46,1880,40,47,3
47,1558,41,38,4
48,2760,46,60,2
49,2128,56,38,2
