ID,WIDTH,HEIGHT,COPIES,PROFIT
0,283,160,8,17530
1,237,491,2,58831
2,469,267,9,69008
3,349,191,9,39131
4,220,469,1,60605
5,394,446,10,111521
6,390,383,1,71630
7,337,127,3,14546
8,487,471,3,59192
9,444,370,6,115487
10,240,477,2,49076
11,316,379,4,41134
12,219,417,8,23186
13,254,57,10,7486
14,285,203,6,35757
15,116,146,2,4613
16,79,362,6,8618
17,311,298,10,36746
18,414,398,4,56153
19,303,120,7,26927
20,135,85,9,3768
21,276,483,4,66460
22,474,189,10,49569
23,113,439,8,17112
24,277,92,4,10087
25,256,138,3,11819
26,119,337,9,15548
27,430,154,1,29162
28,337,365,8,53605
29,298,494,8,54432
30,386,132,9,21164
31,247,290,4,47387
32,403,451,8,135846
33,145,230,2,11557
34,422,123,1,38387
35,458,232,8,48649
36,309,234,3,32929
37,177,396,8,50602
38,130,216,9,20922
39,257,324,5,54655
40,139,68,5,3624
41,164,488,1,28828
42,358,479,5,100087
43,448,412,3,58860
44,260,490,10,69508
45,352,255,8,33274
46,149,57,9,6136
47,285,460,7,53556
48,496,191,7,67188
49,174,446,1,56801
50,217,163,5,22434
51,359,175,1,33377
52,91,129,6,8594
53,439,425,4,110536
54,484,261,6,57814
55,386,177,1,18369
56,331,300,1,62280
57,251,271,7,26466
58,381,149,6,40007
59,371,286,3,39003
60,219,201,1,24572
61,360,334,4,80944
62,95,218,5,7141
63,313,176,2,16500
64,127,306,2,27927
65,148,471,6,19891
66,228,436,10,34044
67,143,212,9,13982
68,212,293,9,18500
69,397,475,9,50870
70,286,232,2,31693
71,496,62,7,16171
72,428,326,2,68028
73,396,320,1,84656
74,230,290,6,35088
75,146,110,9,11472
76,170,250,9,31059
77,185,403,4,43528
78,86,319,7,17234
79,141,117,5,8261
80,325,290,6,62936
81,86,381,10,21574
82,68,112,9,3237
83,139,147,1,10596
84,373,369,7,66156
85,232,394,7,31821
86,241,203,10,14084
87,117,445,9,35500
88,57,282,6,9509
89,327,136,8,28645
90,396,448,7,128110
91,163,354,2,16649
92,77,85,7,2718
93,117,446,10,32624
94,55,481,1,7164
95,268,157,10,26117
96,60,258,8,9623
97,339,181,6,29712
98,167,369,3,30700
99,477,61,8,8939
