ID,WIDTH,HEIGHT,COPIES,PROFIT
0,278,325,6,31179
1,495,393,8,134873
2,237,218,2,14145
3,303,178,8,35005
4,152,494,8,33607
5,177,79,7,9881
6,218,192,7,18116
7,323,267,8,51000
8,72,326,4,7329
9,430,351,2,103667
10,480,322,1,49642
11,63,357,10,6388
12,218,393,5,53708
13,384,130,1,33329
14,338,353,4,35438
15,426,191,1,42705
16,235,246,2,36475
17,151,119,8,5058
18,308,324,10,65895
19,238,201,10,27328
20,470,342,6,53001
21,305,243,6,31848
22,334,415,9,97794
23,293,204,3,17639
24,56,357,8,11843
25,51,248,4,3807
26,173,330,6,41572
27,438,434,2,90322
28,59,443,5,8803
29,433,497,4,135419
30,388,347,9,42232
31,268,231,6,45994
32,341,483,6,41910
33,300,210,10,20887
34,345,129,8,21661
35,213,320,5,30511
36,176,286,2,14019
37,374,84,5,13074
38,235,137,7,17668
39,62,423,5,11944
40,252,284,1,53550
41,437,256,9,33787
42,344,383,9,89940
43,284,370,7,68202
44,354,274,2,45855
45,494,86,8,18695
46,97,456,9,28806
47,464,63,5,18800
48,270,267,2,46668
49,363,169,9,23092
