ID,WIDTH,HEIGHT,COPIES,PROFIT
0,160,152,5,7294
1,456,292,2,61111
2,441,82,10,16599
3,262,237,8,32859
4,351,63,9,7796
5,72,200,9,4262
6,291,170,9,21219
7,75,305,1,6382
8,270,466,1,39853
9,456,450,9,140668
10,472,474,2,144431
11,161,173,4,7772
12,414,196,8,36485
13,472,486,5,146474
14,392,207,6,38835
15,138,343,3,21894
16,95,405,9,22126
17,274,350,10,54047
18,158,227,6,11188
19,450,471,5,126921
20,406,144,5,21720
21,325,494,4,114898
22,431,270,2,30241
23,386,88,2,15545
24,332,337,4,49465
25,296,274,8,24183
26,382,161,8,26028
27,454,416,3,66678
28,470,409,7,143257
29,347,471,4,79139
30,214,185,9,15382
31,481,155,9,34150
32,250,409,2,72944
33,284,115,2,12148
34,132,77,7,4309
35,296,381,2,59784
36,434,97,9,26891
37,456,195,1,56967
38,423,345,6,83780
39,210,176,6,16214
40,379,176,4,43601
41,334,462,1,65144
42,372,435,8,98315
43,69,396,4,17348
44,496,290,3,55141
45,421,92,6,25337
46,224,160,6,18648
47,373,324,5,54907
48,291,321,6,56097
49,315,153,4,20730
50,329,257,2,46303
51,193,133,1,10104
52,162,55,8,4083
53,340,160,8,33315
54,323,373,10,46746
55,349,200,4,17518
56,497,153,7,47942
57,490,178,4,63074
58,128,266,8,20165
59,245,291,5,19376
60,394,387,9,66773
61,50,305,5,5790
62,234,265,8,19874
63,450,470,2,145874
64,345,339,8,33595
65,170,439,8,21569
66,338,459,5,65271
67,325,438,3,43257
68,410,323,3,66479
69,176,275,2,27480
70,104,90,10,4975
71,52,64,9,1607
72,473,62,1,10940
73,241,167,5,16217
74,222,198,1,29122
75,457,62,8,20860
76,396,100,5,20089
77,295,110,2,10349
78,337,191,3,29317
79,55,177,5,7236
80,377,317,8,36074
81,136,192,2,14803
82,98,402,3,22812
83,264,127,8,16155
84,219,84,4,11456
85,100,189,8,7592
86,386,397,7,70568
87,228,228,10,17932
88,72,280,3,10395
89,475,327,1,40680
90,146,152,7,6828
91,279,184,7,19932
92,448,438,10,103350
93,379,436,3,102319
94,289,151,4,27221
95,438,176,9,46061
96,472,267,7,58302
97,141,400,4,28878
98,184,337,6,41459
99,385,488,10,59633
