ID,WIDTH,HEIGHT,COPIES,PROFIT
0,214,90,26,8266
1,79,246,20,6176
2,67,207,44,4554
3,417,240,35,52547
4,107,153,15,11905
5,301,422,50,71469
6,380,136,28,27198
7,317,270,2,50360
8,495,204,14,71082
9,498,164,46,58732
10,296,263,16,41741
11,145,221,12,12911
12,347,150,8,19826
13,177,366,30,23738
14,106,334,18,15546
15,104,88,15,4758
16,106,262,43,13103
17,498,117,38,29802
18,358,453,5,84538
19,206,482,7,40694
20,388,234,28,29682
21,111,475,44,29914
22,208,386,44,32201
23,322,251,24,31909
24,332,299,16,69414
25,187,291,7,20032
26,177,230,8,22278
27,77,393,23,12274
28,427,124,18,28316
29,470,457,4,131080
30,311,84,3,13508
31,367,144,18,30661
32,67,469,48,23264
33,384,354,14,49143
34,302,203,34,30186
35,353,178,17,29410
36,68,183,19,7868
37,79,164,48,6837
38,220,185,24,17964
39,278,143,38,14204
40,383,257,4,51047
41,151,464,2,29315
42,301,470,5,68564
43,348,79,36,13437
44,111,325,8,22309
45,311,184,3,17244
46,257,202,28,15242
47,170,135,21,15466
48,383,222,17,23047
49,240,82,30,11561
50,142,126,38,10714
51,257,481,15,71871
52,120,96,1,7358
53,226,228,48,27597
54,87,81,32,4491
55,170,341,49,41069
56,89,426,46,13457
57,281,442,24,76906
58,54,204,16,6789
59,223,283,29,19071
60,323,399,1,41637
61,322,281,39,40180
62,62,357,30,11534
63,414,397,2,122787
64,453,495,3,138298
65,90,327,25,10562
66,222,146,34,11253
67,359,289,3,70900
68,193,86,19,11392
69,494,454,38,145449
70,161,340,7,31847
71,195,291,25,21174
72,58,400,20,7517
73,124,449,46,25123
74,306,408,24,64355
75,376,343,27,74630
76,462,491,28,134056
77,289,444,47,37201
78,101,186,29,13352
79,325,457,41,69683
80,192,187,45,23673
81,199,242,35,17253
82,148,392,15,40953
83,172,127,25,7027
84,466,341,4,43313
85,132,403,50,24071
86,181,96,23,4906
87,143,123,30,9344
88,314,421,16,36619
89,62,103,48,4401
90,311,267,29,31045
91,469,462,35,150916
92,266,398,35,45287
93,344,57,12,7843
94,162,251,31,18095
95,438,218,6,28260
96,89,226,22,8494
97,465,95,20,15161
98,189,359,48,28350
99,363,172,42,45009
