ID,WIDTH,HEIGHT,COPIES,PROFIT
0,238,218,17,20248
1,460,484,7,95215
2,336,67,23,13250
3,87,168,15,3929
4,371,397,9,79908
5,461,339,15,96472
6,267,280,13,32649
7,242,477,12,46605
8,356,292,21,31987
9,73,251,7,12610
10,452,83,9,18639
11,478,268,39,37017
12,116,415,8,14641
13,315,203,38,44554
14,185,141,13,16053
15,134,435,8,34224
16,295,452,13,91581
17,345,114,3,19642
18,297,387,1,58468
19,227,84,24,10367
20,140,278,29,11207
21,270,451,49,78395
22,403,261,23,68493
23,68,391,48,16820
24,270,370,17,74196
25,90,152,38,4156
26,116,284,36,17564
27,426,365,3,92867
28,231,394,16,38990
29,337,459,17,42428
30,85,281,34,17647
31,468,454,33,112145
32,294,373,34,32409
33,349,126,3,12802
34,282,95,14,14720
35,264,447,14,43090
36,83,60,13,2083
37,181,58,40,7261
38,383,344,47,68969
39,136,410,2,26328
40,355,465,5,56594
41,279,133,41,25303
42,131,86,34,2903
43,79,107,20,5606
44,61,464,46,15911
45,444,435,6,140207
46,479,168,14,22707
47,453,249,31,37437
48,413,96,16,27523
49,294,418,5,39659
50,227,138,22,9138
51,406,116,35,26782
52,438,314,36,95267
53,61,155,47,6489
54,225,201,47,30208
55,182,298,43,22106
56,235,456,20,71630
57,321,340,24,64921
58,406,137,36,27487
59,185,153,15,16819
60,475,296,42,91213
61,397,228,14,38455
62,349,360,14,64899
63,232,68,21,8113
64,410,296,46,42914
65,352,103,23,23008
66,359,204,47,18663
67,431,380,47,110429
68,473,164,36,24569
69,426,241,48,73329
70,254,394,20,71609
71,373,296,25,41307
72,494,139,45,29467
73,162,278,49,16518
74,491,301,15,60706
75,301,360,44,50236
76,58,164,11,6982
77,74,384,9,12407
78,138,86,11,7547
79,65,105,22,2193
80,135,463,8,34406
81,428,498,10,74648
82,357,124,30,31394
83,423,297,6,56412
84,350,486,17,43330
85,470,399,20,109851
86,257,181,12,29132
87,235,58,16,4360
88,483,177,21,25349
89,301,446,11,58543
90,91,167,43,5060
91,429,67,22,10719
92,112,99,29,3091
93,194,370,2,41750
94,455,448,4,116080
95,166,329,37,16023
96,481,311,47,101631
97,444,455,50,149197
98,303,381,34,56399
99,147,118,43,8147
100,277,368,2,55281
101,146,228,28,13221
102,440,272,19,60051
103,288,275,32,21222
104,179,359,48,46049
105,265,365,22,40418
106,468,452,44,117639
107,396,171,3,34844
108,213,398,48,39976
109,355,211,27,37290
110,330,429,25,41679
111,80,316,25,8269
112,292,281,23,46428
113,166,236,28,10828
114,290,367,6,32219
115,237,224,47,36363
116,113,317,48,21449
117,453,475,48,127693
118,136,188,42,10171
119,75,266,15,7568
120,233,106,44,17839
121,243,212,40,34336
122,449,359,48,106000
123,135,267,18,26466
124,69,329,50,12277
125,209,319,23,46859
126,423,100,37,27418
127,319,431,43,101501
128,472,250,14,32844
129,390,451,20,125122
130,479,235,29,61912
131,221,52,46,5495
132,328,61,42,10803
133,108,163,1,9341
134,108,114,50,7839
135,243,50,15,6258
136,237,326,3,57631
137,468,200,2,31651
138,81,333,6,8352
139,417,271,49,67073
140,475,434,8,116993
141,198,426,16,55399
142,379,226,50,54916
143,387,307,21,38482
144,437,484,27,93301
145,69,86,20,3702
146,258,60,30,9747
147,159,182,36,21115
148,256,413,16,51816
149,334,475,36,85432
