ID,WIDTH,HEIGHT,COPIES,PROFIT
0,358,57,29,8854
1,126,184,23,16251
2,121,324,46,24879
3,146,409,3,32710
4,240,316,34,50050
5,433,256,15,59486
6,220,343,37,53730
7,484,314,48,103980
8,234,69,18,4495
9,416,481,42,139456
10,421,350,3,57226
11,195,386,21,42992
12,90,342,36,21739
13,466,363,14,107587
14,403,167,45,29286
15,190,87,10,12266
16,183,352,42,35427
17,276,239,2,43924
18,216,102,34,6017
19,441,166,32,44991
20,434,256,33,29593
21,321,281,1,48278
22,190,172,2,17905
23,330,93,9,10013
24,469,150,1,33033
25,97,419,30,23247
26,189,166,21,16169
27,484,184,48,57078
28,229,265,27,31779
29,401,246,11,46075
30,254,214,13,27300
31,449,395,19,111658
32,478,367,35,54829
33,492,435,16,113089
34,406,420,17,77968
35,251,132,46,19184
36,209,162,31,11057
37,104,223,38,11185
38,281,134,27,13517
39,180,491,21,29255
40,273,51,19,6373
41,309,151,24,30370
42,434,360,7,77461
43,102,233,40,12007
44,318,450,50,92053
45,144,118,19,9927
46,127,442,9,21512
47,285,397,28,34959
48,197,362,42,53380
49,102,123,14,5942
50,185,153,47,9483
51,94,323,8,11764
52,110,157,2,5692
53,415,60,39,10614
54,349,143,47,22597
55,142,426,15,25196
56,291,272,11,52778
57,252,104,14,11212
58,141,177,38,13737
59,200,338,27,26508
60,351,316,16,78627
61,177,279,27,28227
62,329,243,40,22281
63,248,129,5,10212
64,456,192,43,27955
65,499,310,7,59211
66,64,392,28,11684
67,136,403,14,13861
68,382,91,13,16153
69,82,149,24,3851
70,268,325,17,38202
71,269,442,15,47035
72,436,488,36,156680
73,427,478,18,152949
74,237,434,49,35231
75,143,88,17,8842
76,278,378,14,36331
77,219,427,47,53216
78,316,373,37,85133
79,301,490,2,103256
80,90,267,18,11616
81,463,347,7,103786
82,280,455,30,48687
83,474,407,26,90167
84,129,490,35,43217
85,458,158,9,22359
86,437,165,18,20906
87,388,290,20,54944
88,392,55,35,12601
89,219,182,20,24999
90,54,427,42,12456
91,493,485,23,77246
92,58,65,12,2726
93,403,384,1,90476
94,96,304,6,18765
95,96,376,33,11009
96,211,253,7,13821
97,52,459,49,11328
98,395,192,35,49550
99,68,124,4,6025
100,69,368,49,6698
101,302,251,27,44861
102,487,373,13,73949
103,387,109,31,26761
104,124,318,33,18529
105,425,261,43,61069
106,78,235,38,6946
107,138,177,45,10687
108,170,464,15,48629
109,210,385,47,24823
110,285,82,42,10002
111,159,112,8,10920
112,211,484,10,29206
113,426,223,29,67816
114,260,491,4,57048
115,170,280,35,18196
116,340,429,1,53939
117,111,464,21,35277
118,235,235,50,37531
119,488,254,37,37914
120,380,162,47,34152
121,391,133,37,15531
122,211,331,33,50572
123,178,238,3,14428
124,315,336,24,49813
125,96,452,15,18139
126,366,384,28,68143
127,371,384,14,77298
128,71,215,50,5943
129,83,200,32,10876
130,67,183,25,7253
131,105,118,16,4644
132,110,428,6,29035
133,149,88,14,3395
134,193,368,25,38975
135,185,233,44,13772
136,499,124,44,28898
137,85,115,6,2476
138,273,283,11,48940
139,150,400,17,44973
140,375,217,37,37558
141,432,229,34,40078
142,93,324,46,9167
143,246,266,46,17135
144,416,377,26,100496
145,87,422,16,12804
146,404,152,24,39278
147,257,381,34,41684
148,328,121,11,25090
149,284,203,49,25732
