ID,WIDTH,HEIGHT,COPIES,PROFIT
0,180,442,8,44682
1,381,92,9,20988
2,127,86,10,8031
3,77,473,10,25594
4,384,81,10,17324
5,193,306,9,18424
6,146,448,4,37988
7,361,302,9,50330
8,112,464,8,33297
9,295,248,6,53988
10,251,191,5,23727
11,416,119,6,23379
12,353,261,3,33390
13,134,449,5,16489
14,483,247,1,47360
15,230,133,6,11991
16,117,413,1,12272
17,115,371,3,23991
18,335,87,10,11614
19,318,475,6,79152
20,204,145,2,21947
21,487,88,4,24185
22,358,164,2,37584
23,334,245,4,50705
24,218,130,5,8594
25,217,303,10,26781
26,172,342,1,18629
27,358,458,5,100848
28,159,219,9,11035
29,162,201,7,20868
30,275,310,9,39986
31,266,172,5,26012
32,121,85,10,3245
33,187,90,4,4976
34,393,63,9,9178
35,452,499,5,70663
36,440,83,10,21497
37,370,206,3,29306
38,415,136,4,33133
39,202,353,4,42194
40,314,329,8,35433
41,463,403,8,137382
42,267,145,7,20745
43,158,445,10,48300
44,380,250,2,35154
45,98,203,3,6043
46,259,249,1,40414
47,211,287,8,19188
48,87,197,9,7311
49,194,308,7,20047
50,59,55,3,998
51,153,209,9,9802
52,287,188,2,15094
53,414,126,10,28824
54,80,463,4,22113
55,299,342,4,31148
56,93,72,10,4156
57,334,493,2,118717
58,293,293,5,36890
59,389,486,6,105724
60,216,223,1,14390
61,52,300,7,4058
62,232,373,9,34046
63,287,465,9,69286
64,480,298,2,83146
65,272,257,3,19432
66,173,187,6,22193
67,341,371,5,34898
68,144,142,7,7966
69,280,255,4,48105
70,496,217,2,39815
71,417,313,5,79834
72,413,359,5,106245
73,141,401,7,39483
74,107,466,4,12621
75,423,431,9,122230
76,210,319,4,45408
77,151,295,9,27337
78,388,215,2,39516
79,436,320,5,71948
80,367,151,8,22141
81,254,323,8,28012
82,241,271,10,40292
83,94,438,10,24373
84,95,418,4,27657
85,127,426,1,40088
86,415,193,9,35451
87,320,139,5,15815
88,420,180,10,56203
89,375,127,1,19456
90,398,286,1,62713
91,293,306,4,52818
92,280,191,1,37029
93,147,234,3,21919
94,245,387,6,53560
95,371,277,7,68557
96,399,241,8,42284
97,173,79,4,5859
98,67,313,6,13786
99,301,182,7,15712
