ID,WIDTH,HEIGHT,COPIES,PROFIT
0,155,80,44,8722
1,400,159,4,41088
2,238,229,39,13872
3,130,408,42,22588
4,428,396,19,42755
5,318,313,19,50694
6,461,366,37,85513
7,186,420,17,41131
8,197,83,34,11879
9,281,456,12,91284
10,117,464,35,35725
11,143,105,31,5678
12,490,470,48,113918
13,420,145,3,43900
14,207,418,33,30023
15,267,249,24,47098
16,396,247,50,67732
17,440,391,36,72583
18,120,351,28,11769
19,341,249,1,46500
20,183,366,50,35890
21,450,233,24,52112
22,164,368,46,40607
23,460,243,7,79071
24,334,172,35,25726
25,90,320,18,10199
26,191,451,31,45002
27,493,137,48,19931
28,51,173,39,5090
29,136,57,45,2985
30,226,283,4,25031
31,265,188,35,32669
32,376,92,35,18506
33,193,336,26,36549
34,259,360,34,63283
35,467,427,14,75868
36,162,458,36,32170
37,237,194,46,29901
38,167,136,32,12898
39,484,432,9,57201
40,404,405,45,89274
41,72,311,4,11625
42,50,407,7,12398
43,351,320,39,46949
44,216,370,31,53659
45,422,365,34,57285
46,166,287,49,30441
47,334,444,42,108255
48,400,149,44,32003
49,156,434,27,24100
