ID,WIDTH,HEIGHT,COPIES,PROFIT
0,411,214,43,61863
1,152,422,2,41440
2,474,419,31,50549
3,483,141,29,29003
4,266,484,33,32477
5,273,271,46,37681
6,206,193,17,20150
7,400,296,49,62339
8,63,243,13,11122
9,343,269,14,65731
10,109,255,23,18291
11,371,438,27,61446
12,133,494,10,32500
13,371,154,41,41185
14,63,129,40,2820
15,374,155,31,41067
16,150,107,17,11114
17,72,286,50,8688
18,453,400,2,50628
19,434,122,39,28997
20,289,348,39,53892
21,154,266,45,20360
22,166,388,24,43336
23,190,122,32,16397
24,374,293,37,49073
25,227,149,17,11978
26,215,195,36,21903
27,443,182,48,23792
28,206,469,38,55734
29,329,387,24,49027
30,126,257,10,12673
31,322,148,2,31250
32,499,327,15,87292
33,218,454,18,55781
34,109,344,15,25449
35,65,56,37,1385
36,413,146,18,26144
37,290,391,46,73741
38,171,157,45,15247
39,347,203,46,19271
40,104,181,31,10271
41,64,284,35,9436
42,206,284,43,35643
43,53,116,43,2570
44,251,432,44,72803
45,344,91,43,11642
46,325,288,37,59807
47,63,312,27,14349
48,197,166,46,17560
49,57,247,30,5012
