ID,WIDTH,HEIGHT,COPIES,PROFIT
0,53,367,10,6712
1,437,247,9,74835
2,194,458,10,24325
3,264,358,5,61341
4,99,385,7,17059
5,172,74,10,8994
6,59,125,1,3192
7,177,357,5,37368
8,418,97,2,12660
9,124,426,8,36283
10,68,244,5,5329
11,437,255,2,31649
12,477,470,10,140542
13,452,218,7,65787
14,229,219,5,14896
15,246,106,5,13686
16,257,472,10,76536
17,105,425,10,12562
18,496,87,10,28494
19,107,130,7,7946
20,68,456,4,10224
21,125,316,10,16973
22,142,398,10,39874
23,173,246,5,12559
24,373,252,9,55683
25,193,67,10,3892
26,312,51,3,11587
27,283,302,3,40609
28,161,105,9,5694
29,398,260,4,65117
30,335,329,9,34572
31,284,181,3,38190
32,310,185,8,14593
33,214,250,1,17738
34,177,180,5,15506
35,378,74,5,12521
36,133,495,2,18335
37,376,313,2,48975
38,53,407,10,11838
39,98,103,7,4597
40,280,52,5,10894
41,68,97,2,1992
42,132,492,4,44334
43,144,463,6,43273
44,204,315,4,30379
45,82,98,10,3536
46,351,311,7,71090
47,294,386,5,72984
48,222,498,6,71569
49,302,474,2,53884
