ID,WIDTH,HEIGHT,COPIES,PROFIT
0,315,442,4,47831
1,67,494,6,24237
2,203,484,10,49622
3,141,446,2,19376
4,354,339,10,56398
5,280,132,3,26438
6,254,276,8,49371
7,109,489,6,29818
8,274,53,2,4174
9,490,401,7,136415
10,50,352,5,9453
11,242,237,10,32190
12,277,173,2,16857
13,124,454,1,32527
14,85,281,1,7125
15,248,247,7,37823
16,137,124,2,7445
17,267,311,2,60620
18,179,402,4,41474
19,239,323,6,51698
20,139,491,10,23882
21,213,230,8,29742
22,412,399,10,107937
23,444,261,6,75476
24,209,179,1,25028
25,366,312,7,64675
26,149,320,6,19332
27,372,436,7,64344
28,229,316,2,24641
29,234,69,10,10931
30,50,354,3,11540
31,263,288,10,42401
32,242,99,8,17499
33,321,164,10,32073
34,56,386,7,7171
35,216,158,5,25391
36,422,89,1,20547
37,274,214,2,25289
38,498,130,6,26516
39,281,492,8,41132
40,398,399,3,42642
41,280,247,9,27055
42,226,424,6,33117
43,68,271,8,8788
44,498,288,6,66616
45,315,169,3,27279
46,253,181,5,28454
47,237,356,10,36400
48,476,95,7,29613
49,198,321,6,36929
50,53,378,10,11839
51,381,133,4,36103
52,65,339,4,13114
53,459,187,8,30249
54,426,127,9,36402
55,177,348,4,16010
56,84,252,4,13311
57,202,137,1,15390
58,497,270,5,87022
59,110,491,5,30769
60,338,496,3,83500
61,90,107,4,5070
62,73,427,9,18162
63,77,498,5,18967
64,229,156,4,9036
65,336,108,7,19493
66,337,445,4,94718
67,308,62,8,7305
68,131,414,4,35247
69,459,57,8,17497
70,124,287,5,9060
71,193,377,4,36700
72,449,72,10,21993
73,149,235,7,9996
74,134,290,6,23094
75,344,265,3,43323
76,445,243,8,66940
77,358,304,9,49124
78,171,347,3,32152
79,350,487,4,106023
80,67,241,5,11865
81,347,440,6,55373
82,397,387,10,38717
83,247,114,1,14085
84,119,210,10,13788
85,167,267,3,27865
86,265,250,7,41353
87,402,99,7,20433
88,388,140,7,16489
89,243,52,1,5724
90,254,448,9,58592
91,194,162,10,10635
92,86,479,10,19401
93,344,283,10,60571
94,67,93,9,4345
95,86,105,10,5500
96,211,290,10,33173
97,424,55,1,17447
98,232,235,8,18177
99,271,203,6,30934
