ID,WIDTH,HEIGHT,COPIES,PROFIT
0,267,124,26,9620
1,143,319,36,31596
2,105,139,23,5058
3,293,200,48,28345
4,498,372,15,90229
5,227,479,16,37835
6,373,207,1,43040
7,170,289,23,28859
8,190,185,33,23473
9,432,173,45,54548
10,281,186,38,23059
11,185,274,31,22432
12,177,136,30,7195
13,385,218,42,50306
14,185,158,37,14219
15,417,198,5,42788
16,144,372,26,22432
17,152,467,8,18087
18,497,341,33,52243
19,281,293,3,56758
20,123,449,19,27208
21,86,380,16,9147
22,391,112,44,20418
23,435,386,31,99857
24,228,487,47,44585
25,98,97,16,3712
26,498,469,45,113725
27,374,212,17,30323
28,283,83,38,6282
29,160,165,50,7144
30,96,174,1,6986
31,391,234,20,32868
32,302,155,27,26635
33,487,112,14,29354
34,234,325,12,37589
35,142,148,6,6477
36,333,90,47,7498
37,52,312,26,11870
38,132,380,36,37064
39,269,55,23,7268
40,164,323,49,14589
41,431,140,33,27587
42,112,387,12,25371
43,202,132,7,16053
44,110,485,3,17799
45,135,455,8,36146
46,191,99,34,6449
47,390,196,3,52299
48,232,77,27,11534
49,380,267,34,66736
