ID,WIDTH,HEIGHT,COPIES,PROFIT
0,424,176,30,28193
1,242,282,28,50450
2,424,338,31,62868
3,396,283,19,60691
4,416,226,21,67867
5,354,487,40,118376
6,453,475,24,130836
7,477,254,26,78545
8,395,268,44,64482
9,284,357,24,75772
10,354,408,46,104615
11,218,76,23,8399
12,87,401,35,21044
13,123,357,29,20984
14,480,276,17,82923
15,61,388,5,7764
16,197,284,33,36090
17,424,157,48,39123
18,381,397,41,50991
19,210,200,49,13906
20,171,53,36,4074
21,213,434,11,52026
22,316,217,45,17805
23,435,125,30,26211
24,179,351,2,22320
25,309,134,33,17676
26,366,499,39,82442
27,319,355,23,53200
28,436,136,7,27157
29,251,405,50,66703
30,250,346,44,38496
31,72,196,34,7942
32,165,154,45,15323
33,324,93,21,15450
34,499,210,34,32469
35,462,365,35,124100
36,117,385,46,25533
37,158,297,39,14682
38,420,197,10,33913
39,190,457,42,61558
40,137,263,32,18203
41,432,171,8,29196
42,252,342,21,48387
43,65,442,14,8218
44,210,326,46,33947
45,488,135,21,20092
46,257,265,45,36994
47,149,401,3,38142
48,74,135,26,2541
49,213,69,40,6754
