ID,WIDTH,HEIGHT,COPIES,PROFIT
0,223,481,34,74609
1,173,277,32,16330
2,107,272,36,11957
3,430,401,14,124376
4,425,151,49,23380
5,70,185,42,7157
6,301,238,25,26068
7,67,435,4,10692
8,344,132,5,27352
9,406,366,31,111352
10,246,432,19,78402
11,405,129,25,13811
12,56,396,9,13728
13,309,136,48,11411
14,232,68,47,5578
15,139,249,3,23240
16,54,487,13,19168
17,225,491,14,73421
18,107,180,48,6928
19,430,258,28,59881
20,366,407,46,94858
21,134,179,23,9208
22,422,388,9,70101
23,186,416,1,37781
24,119,447,45,17589
25,452,304,14,93587
26,452,229,32,42319
27,236,92,33,8748
28,170,218,42,22064
29,60,86,21,3218
30,336,452,17,88505
31,139,249,15,25615
32,356,496,43,73214
33,93,394,33,16566
34,350,343,48,48494
35,407,254,42,37442
36,290,456,17,36557
37,270,385,32,75480
38,486,453,32,81878
39,224,125,33,13554
40,210,229,39,31119
41,449,252,26,52612
42,136,481,10,27740
43,262,168,20,24530
44,444,455,45,127270
45,487,361,49,129012
46,125,331,6,20257
47,224,118,42,17750
48,62,205,28,7303
49,291,350,1,38598
50,148,416,26,36629
51,296,89,31,7913
52,472,258,20,79291
53,345,153,45,19342
54,174,206,12,23721
55,146,486,13,33359
56,124,492,10,40080
57,86,222,28,8126
58,191,94,38,6964
59,181,497,21,61131
60,495,195,42,54991
61,274,221,6,27371
62,131,200,36,9213
63,498,412,37,133093
64,57,383,22,13389
65,429,203,39,32374
66,187,263,38,35951
67,421,188,12,57373
68,451,295,38,46865
69,180,407,18,30856
70,209,89,24,5153
71,376,405,27,79845
72,226,201,2,26343
73,86,73,8,3420
74,204,239,22,21118
75,456,283,4,82187
76,362,430,12,80366
77,445,414,14,67029
78,159,130,38,15306
79,96,257,17,11657
80,85,229,29,11310
81,389,459,10,75079
82,322,459,17,62082
83,435,181,26,45473
84,439,284,32,32094
85,275,330,21,58827
86,168,377,10,17231
87,290,202,21,29225
88,441,377,44,51920
89,238,241,11,15705
90,318,353,48,31818
91,338,329,2,58259
92,109,62,39,2627
93,151,315,21,28666
94,245,273,13,39068
95,162,337,47,20450
96,153,126,12,14189
97,161,316,47,19906
98,94,105,28,6338
99,50,88,17,3010
100,478,125,47,35422
101,297,343,13,26442
102,334,327,29,37031
103,288,94,23,9014
104,311,105,50,15994
105,127,220,20,9684
106,382,447,36,53929
107,402,165,44,31532
108,329,457,20,73090
109,95,450,34,28311
110,260,469,33,88949
111,85,471,20,13203
112,142,351,1,30249
113,122,199,42,8220
114,129,476,23,19141
115,211,145,18,17322
116,493,414,24,101209
117,259,137,32,26038
118,405,488,20,73205
119,279,472,35,48091
120,403,192,27,42538
121,318,196,40,36868
122,463,262,48,75579
123,128,131,34,8025
124,407,103,23,23044
125,117,81,1,6720
126,417,301,3,63369
127,479,345,37,60912
128,306,227,46,38579
129,418,236,17,31365
130,395,130,49,17486
131,239,191,28,11632
132,351,246,48,49862
133,349,302,18,66256
134,448,56,4,13073
135,413,386,7,102985
136,114,70,34,2345
137,385,424,22,121493
138,448,227,42,58598
139,430,308,35,90824
140,368,67,44,8031
141,375,186,40,27568
142,427,56,13,6760
143,313,243,43,29634
144,435,435,25,64091
145,345,92,15,22166
146,263,367,4,67541
147,351,393,42,83027
148,366,422,10,74868
149,312,363,50,44545
