ID,WIDTH,HEIGHT,COPIES,PROFIT
0,422,75,10,12253
1,130,256,5,16825
2,142,472,1,36936
3,167,226,9,22156
4,77,52,6,2352
5,128,413,9,33550
6,306,185,5,27147
7,417,105,10,14882
8,193,157,2,7819
9,479,136,7,45795
10,285,402,7,49115
11,135,91,3,4219
12,123,104,7,3248
13,289,89,3,13299
14,253,398,6,62234
15,244,139,3,9237
16,189,159,5,9056
17,339,194,6,26075
18,499,264,9,44895
19,310,167,10,38339
20,157,229,3,11804
21,295,174,1,25590
22,398,477,3,105043
23,114,495,8,19466
24,443,176,9,30862
25,331,471,2,52157
26,346,312,5,41853
27,432,369,1,70199
28,259,459,9,51808
29,210,365,3,28342
30,83,164,4,5654
31,240,56,4,8891
32,212,206,3,32641
33,323,228,8,25520
34,121,488,10,43669
35,364,479,1,79828
36,413,370,1,69590
37,442,201,10,64138
38,155,174,2,20095
39,425,484,8,135015
40,253,67,8,6499
41,229,450,6,37119
42,272,127,10,20162
43,452,130,10,18738
44,348,494,2,93793
45,420,245,8,38145
46,174,457,6,57446
47,334,155,10,21149
48,224,495,6,78637
49,169,97,7,11999
50,448,196,4,55692
51,353,194,4,36383
52,334,402,2,98296
53,258,164,9,25068
54,185,109,3,9229
55,493,294,3,38969
56,180,476,1,53738
57,480,61,8,11392
58,390,410,2,112688
59,404,176,5,26137
60,235,231,4,30302
61,443,469,2,139866
62,285,251,7,24666
63,420,378,1,47551
64,330,255,2,60471
65,193,441,10,24286
66,433,237,7,35145
67,117,158,10,8526
68,416,228,1,28249
69,464,257,7,32168
70,256,449,8,54903
71,190,335,6,33470
72,398,129,7,25032
73,300,107,2,21445
74,260,173,4,23662
75,110,111,10,8722
76,461,143,8,48177
77,411,415,3,99583
78,147,358,7,33060
79,475,101,2,24024
80,391,420,5,109658
81,98,384,3,24778
82,420,162,2,28917
83,265,153,5,21025
84,192,233,7,21503
85,167,124,8,7209
86,470,304,8,41131
87,173,140,3,16514
88,74,383,9,16766
89,117,237,3,17861
90,296,84,10,17955
91,419,418,1,50534
92,298,316,10,39104
93,220,177,5,24345
94,195,338,4,17848
95,163,211,3,21348
96,302,88,6,16521
97,378,62,2,11348
98,179,84,6,7491
99,435,81,8,10824
