ID,WIDTH,HEIGHT,COPIES,PROFIT
0,370,353,48,56058
1,152,368,6,17776
2,282,247,7,22873
3,381,282,5,56412
4,300,337,17,73519
5,473,151,11,40186
6,448,84,8,19805
7,206,396,40,47998
8,429,139,24,41975
9,459,109,21,35978
10,454,465,50,113195
11,192,297,13,22975
12,308,440,7,51621
13,407,137,18,20432
14,95,176,13,7342
15,486,335,27,84641
16,241,401,47,45596
17,78,84,16,3351
18,64,232,20,7740
19,177,61,7,4425
20,114,93,22,3466
21,490,190,46,52821
22,482,132,50,25517
23,437,81,4,13975
24,146,168,31,17152
25,352,321,44,41595
26,140,456,22,34935
27,81,167,14,5487
28,97,152,50,7885
29,296,183,39,33057
30,322,235,1,39126
31,365,450,6,95292
32,448,107,9,35490
33,311,269,30,30244
34,152,249,4,18636
35,98,137,20,6284
36,248,248,2,38888
37,389,338,11,69387
38,366,221,6,35700
39,138,127,38,6262
40,112,136,21,7899
41,142,107,15,6357
42,215,171,26,17818
43,132,368,48,23743
44,130,140,33,11255
45,193,321,11,18669
46,342,194,47,19479
47,286,120,45,23129
48,235,463,28,29492
49,210,325,1,40092
50,406,368,24,89472
51,469,88,37,23996
52,473,450,8,135947
53,419,199,4,44657
54,217,477,26,65972
55,440,167,4,52057
56,155,211,14,11608
57,140,447,3,38749
58,379,332,37,77544
59,249,320,31,24078
60,91,75,36,2205
61,153,87,46,5911
62,400,388,15,80876
63,94,149,8,10463
64,137,371,16,31348
65,207,73,14,5423
66,153,293,39,15563
67,53,148,20,5360
68,291,184,41,36749
69,288,322,30,60142
70,420,450,43,109957
71,310,218,15,25217
72,294,292,31,27817
73,75,414,21,14011
74,281,197,26,28535
75,489,241,39,68196
76,102,392,16,23629
77,280,326,25,26464
78,139,380,10,37542
79,86,67,1,2703
80,236,296,13,46059
81,297,492,24,52351
82,51,312,9,11232
83,387,135,27,16806
84,342,174,3,16220
85,342,232,29,35904
86,340,64,33,6144
87,430,69,15,15762
88,351,77,46,7487
89,273,146,20,27472
90,471,316,18,55646
91,449,71,36,22204
92,320,98,11,13415
93,110,321,29,14123
94,458,360,26,73371
95,389,213,1,24522
96,218,78,46,7181
97,310,392,33,41706
98,335,461,1,64526
99,208,185,49,27740
