ID,WIDTH,HEIGHT,COPIES,PROFIT
0,473,286,9,46473
1,124,303,2,27513
2,215,240,3,26060
3,115,318,5,11267
4,101,180,8,8544
5,229,353,4,57824
6,127,199,9,17799
7,448,396,2,99247
8,241,121,9,8381
9,475,325,2,107176
10,451,389,3,94231
11,149,156,10,13046
12,131,192,2,8848
13,322,134,5,24930
14,270,333,1,26821
15,362,262,7,58562
16,53,467,6,10846
17,169,364,2,44909
18,249,160,6,22962
19,462,349,3,107980
20,231,408,8,32979
21,467,70,3,19846
22,417,243,7,66534
23,59,144,7,5533
24,291,317,7,61712
25,444,141,1,35457
26,435,408,1,71959
27,249,107,9,10570
28,57,121,5,2349
29,63,242,9,10322
30,85,393,1,21779
31,208,112,6,13041
32,384,467,1,130982
33,51,92,2,2859
34,131,334,1,14516
35,264,283,1,55585
36,279,56,9,8548
37,468,318,5,64187
38,387,298,4,47235
39,347,217,7,22403
40,284,483,6,36834
41,288,133,2,14984
42,104,313,9,11250
43,439,288,7,60294
44,257,375,7,44763
45,281,136,7,19583
46,201,368,7,45961
47,477,355,1,73054
48,187,442,7,54128
49,414,270,9,64948
50,309,54,3,9860
51,494,459,2,161548
52,269,315,3,50431
53,346,347,2,42312
54,495,434,1,144545
55,232,195,7,11759
56,324,264,4,53789
57,103,370,6,21194
58,195,194,1,24533
59,375,438,3,93573
60,202,351,1,35314
61,495,411,8,107101
62,163,351,10,33336
63,131,59,9,3823
64,344,214,3,18620
65,370,433,10,86061
66,418,114,8,30097
67,69,308,4,8130
68,90,147,1,8598
69,164,252,10,27639
70,456,438,5,50846
71,417,59,1,12409
72,115,349,9,27304
73,285,483,8,39297
74,99,99,7,5825
75,159,430,5,32492
76,270,388,1,64851
77,200,170,1,15347
78,487,398,7,105024
79,167,187,8,19425
80,126,230,2,21295
81,262,496,5,47130
82,459,166,3,19201
83,404,439,7,88715
84,232,387,1,49536
85,439,354,9,97116
86,421,317,5,83304
87,295,472,9,71487
88,143,280,3,12155
89,236,401,9,42871
90,386,86,2,17093
91,399,101,4,13637
92,231,480,7,52221
93,274,459,8,78250
94,241,145,2,24367
95,75,276,3,12609
96,177,264,8,25333
97,366,133,8,36418
98,181,127,5,7664
99,73,215,3,8825
