Solution value: 59.0
Elapsed time: 26.094800664 secs 
---------------------------------
ID x                 y                
---------------------------------
1 -7.718144608298294 -3.499999999999999
2 -5.233144608298295 9.155000000000001
3 -0.6981446082982945 -3.035
4 -9.138144608298289 4.6711544193263705
8 3.4768553917017053 -0.5950000000000001
11 -0.5231446082982971 11.159999999999998
13 -1.5931446082982945 -0.2350000000000001
14 -10.868144608298296 0.36000000000000143
16 -0.7231446082982941 -9.285
18 -4.508144608298294 0.2250000000000003
20 -1.5231446082982947 7.435
22 2.366855391701705 8.2
24 -4.378144608298294 3.8850000000000002
26 6.631855391701702 -8.745
27 -4.308144608298294 -3.0149999999999997
28 5.796855391701702 -6.405000000000001
29 6.111855391701707 3.56
30 -4.123144608298295 7.110000000000001
35 -6.253144608298294 -8.034999999999997
37 10.016855391701707 3.29
38 -0.5431446082982954 9.934999999999999
43 1.4568553917017057 6.135
45 -5.588144608298294 -9.174999999999997
46 7.981855391701702 -6.130000000000006
52 4.131855391701706 5.43
54 0.9368553917017053 -4.565
55 3.6568553917017024 -9.094999999999999
56 -6.533144608298288 5.3549999999999995
57 -1.868144608298294 2.52
59 -10.298144608298292 -2.859999999999999
60 3.6018553917017067 1.6099999999999999
62 2.8568553917017034 -6.725
63 -1.2481446082982945 -5.959999999999999
64 -3.5781446082982935 -10.285
65 -0.6781446082982944 -10.879999999999999
66 6.771855391701704 7.477157890686779
68 2.4218553917017016 -10.804999999999998
69 -0.8531446082982944 -8.02
70 -8.553144608298286 6.846154419326371
71 3.656855391701704 10.02
72 -9.273144608298294 0.830000000000001
75 -3.6131446082982945 -6.969999999999999
76 9.961855391701707 -2.8850000000000002
77 -9.198144608298293 -3.2399999999999993
78 0.9718553917017062 3.065
81 -1.668144608298294 4.795
82 8.281855391701708 3.505
83 6.041855391701705 -2.455
86 3.521855391701706 3.26
88 7.206855391701706 0.49499999999999983
90 -5.398144608298295 -5.954999999999998
92 -8.013144608298296 -6.429999999999994
94 10.931855391701706 0.0
95 9.63185539170171 -4.8100000000000005
96 3.8218553917017064 6.645
97 1.3168553917017054 -0.59
98 -6.848144608298293 0.6700000000000008
99 8.391855391701705 -1.9850000000000003
100 3.131855391701705 -3.8000000000000003
---------------------------------
