Solution value: 103.0
Elapsed time: 85.372386245 secs 
---------------------------------
ID x                 y                
---------------------------------
1 -11.768085703491977 -7.029999999999994
2 13.296914296508005 -3.9249999999999994
3 -8.243085703491994 9.535
4 2.8019142965080075 -6.76
5 6.286914296508007 -5.604999999999999
6 -9.478085703491995 -9.209999999999999
7 -6.143085703491996 -11.145
8 -8.848085703491993 6.600000000000001
9 6.626914296508007 -3.614999999999998
11 13.11691429650801 -6.005000000000031
13 -6.653085703491993 -7.8050000000000015
14 -1.5980857034919926 -10.079999999999998
16 -1.0880857034919966 -13.729999999999961
17 7.651914296508011 6.729999999999999
18 13.541914296508008 0.25
21 4.211914296508008 -2.65
22 -1.09808570349199 9.040000000000003
24 8.461914296508006 -7.650000000000003
25 1.7569142965080093 3.514999999999999
28 6.8019142965080075 -10.01
29 -0.6080857034919924 -6.909999999999999
30 5.851914296508008 0.04999999999999993
31 -1.1330857034919917 2.395
32 8.066914296508008 -0.7649999999999999
33 -0.8780857034919913 3.6900000000000004
34 -9.51308570349199 -3.4249999999999985
36 -5.833085703491992 6.075
37 -4.818085703492001 -13.670000000000002
38 8.281914296508006 -11.589999999999995
39 8.591914296508005 -3.929999999999998
40 4.731914296508006 -10.87
46 -11.618085703491996 -8.529999999999996
48 3.936914296508008 -0.4650000000000002
49 9.721914296508011 6.600000000000003
50 8.301914296507999 -5.920000000000002
51 -1.0930857034919899 11.585000000000004
52 -0.89308570349199 10.315000000000005
53 1.991914296508007 -10.59
56 2.5719142965080106 13.899999999999999
57 6.11191429650801 3.389999999999998
58 -10.308085703491994 9.27
59 -13.858085703491987 -4.619999999999994
60 -3.4180857034919954 -12.919999999999991
61 5.22191429650801 6.959999999999999
63 10.916914296508008 -6.955000000000018
65 5.866914296508008 -1.335
66 12.076914296508015 5.764999999999998
68 -7.8166871982709925 11.745000000000001
70 -4.1980857034919925 -8.519999999999998
71 1.7669142965080096 7.755
72 7.8069142965080065 9.084999999999994
74 -14.098085703491988 -2.9399999999999933
75 -1.5880857034919917 -3.7499999999999996
76 -8.763085703491997 -11.315000000000001
78 14.2946440193755 -1.765
81 1.1819142965080083 -0.1399999999999999
82 -12.463085703491991 3.464999999999997
84 2.9519142965080105 12.139999999999999
89 5.071914296508011 9.469999999999999
90 -9.533085703491992 -6.334999999999999
92 10.946914296508007 -4.004999999999999
93 -3.968085703491989 13.480000000000015
94 -6.478085703491992 3.169999999999999
96 -0.9280857034919912 4.780000000000001
97 6.351914296508007 -7.999999999999999
98 0.9519142965080101 11.189999999999998
100 1.861914296508008 -3.0599999999999996
101 -5.458085703491991 -0.18000000000000083
103 -5.978085703491991 12.970000000000002
104 -11.788085703491994 6.479999999999997
106 -14.473085703491988 -0.9250000000000035
108 -1.583085703491989 13.545000000000007
111 -12.048085703491989 -3.069999999999996
112 8.761914296508007 -9.710000000000004
113 5.391914296508014 12.150000000000002
114 5.6919142965080045 -12.940000000000001
115 -1.0680857034919904 7.590000000000002
117 -2.0080857034919917 -0.030000000000000027
118 6.581914296508009 -11.350000000000001
120 -4.338085703491991 9.750000000000002
121 -3.2480857034919914 5.98
122 11.311914296508009 -0.9799999999999999
123 -4.4430857034919935 -7.1750000000000025
125 3.921914296508005 -13.030000000000001
126 9.54191429650801 2.3399999999999976
129 1.7369142965080044 -13.355
130 -2.6130857034919925 -6.734999999999999
131 9.29191429650801 4.469999999999997
132 10.776914296508005 -9.365000000000016
133 10.336914296508006 9.06499999999999
134 3.0469142965080103 10.665
135 -11.778085703491989 -0.13000000000000234
136 -8.643085703491991 0.23499999999999854
141 -1.1230857034919908 6.115000000000002
142 -3.418085703491992 3.13
143 -5.863085703491992 -4.1850000000000005
144 8.186261382024586 11.419999999999991
145 12.36691429650801 2.784999999999998
146 -12.138085703491988 -5.159999999999996
147 14.791914296508008 0.0
148 -9.32308570349199 2.9149999999999983
149 0.35191429650801065 13.209999999999997
150 -14.328085703491988 0.8199999999999965
---------------------------------
