Solution value: 596.4251999999998
Elapsed time: 61.413689329 secs 
---------------------------------
ID x                 y                
---------------------------------
1 -8.211644128061403 -10.440361726765184
2 1.383355871938632 -4.904999999999999
5 -8.27164412806137 -4.629999999999994
6 -1.946644128061266 12.895
7 -5.16664412806143 -12.385000000000002
9 8.523355871938705 10.334999999999855
10 -6.5366441280614085 -10.815
13 -11.341644128061368 -7.127510505421996
15 -11.631644128061374 -5.47850552798122
16 -11.131644128061318 7.27403682941015
17 6.293355871938656 4.874999999999995
20 9.503355871938632 -7.48888909019299
26 -6.151644128061282 11.900000000000002
28 6.188355871938631 -4.86
30 -7.711644128061291 10.660000000000004
31 -12.026644128061372 3.136494472018783
32 2.113355871938734 12.92499999999999
36 0.09835587193873607 13.049999999999983
42 12.563355871938652 4.725
43 1.473355871938658 4.944999999999993
46 -12.37164412806137 0.02149447201878321
55 5.643355871938721 12.234999999999934
57 11.108355871938635 -7.223889090192991
64 6.498355871938633 0.009999999999999787
66 -3.476644128061368 -4.915
73 -2.0266441280614376 -12.815000000000001
74 10.82835587193869 8.044004299382898
76 5.758355871938605 -9.530000000000115
88 10.313355871938647 4.144999999999998
90 -12.031644128061373 -3.0985055279812177
94 -8.276644128061369 0.09500000000000597
96 8.878355871938608 -9.37156558580121
98 -3.4066441280613415 4.895
100 -3.701644128061269 12.7
107 4.323355871938567 -12.495000000000037
110 -9.721644128061364 -8.019999999999985
113 12.768355871938638 3.3099999999999996
116 2.1233558719385623 -12.88499999999998
124 9.468355871938677 6.589999999999997
125 -3.8116441280614337 -12.630000000000003
126 -6.851644128061306 8.620000000000005
134 -11.526644128061335 5.5790368294101516
135 5.608355871938571 -12.250000000000108
141 -6.261644128061291 10.610000000000003
144 -9.455589617043175 -9.579999999999988
147 11.18335587193868 6.669004299382887
148 -3.441644128061368 -0.010000000000000231
149 0.0633558719385594 -13.034999999999979
150 1.2583558719386025 -9.629999999999985
160 4.373355871938725 12.474999999999973
163 -3.266644128061299 9.625
166 10.588355871938631 -4.533889090192989
170 1.323355871938702 9.685000000000002
173 11.488355871938634 0.0
177 -3.2816441280613944 -9.59
178 5.783355871938699 9.554999999999936
184 -9.092455438356168 9.955000000000014
187 13.15835587193863 -3.063889090192989
190 -8.161644128061344 4.78000000000001
192 -9.311644128061307 8.270000000000016
194 1.518355871938633 0.009999999999999787
195 -5.021644128061274 12.46
197 9.133355871938694 8.574999999999836
198 -7.301644128061362 -8.380000000000003
---------------------------------
