TYPE,ID,COPIES,BIN,X,LX
BIN,2,120,0,0,10000
ITEM,2,120,0,0,4624
ITEM,2,120,0,4624,4624
BIN,2,299,1,0,10000
ITEM,3,299,1,0,3589
ITEM,7,299,1,3589,732
ITEM,3,299,1,4321,3589
ITEM,9,299,1,7910,2056
BIN,2,236,2,0,10000
ITEM,0,236,2,0,9809
BIN,1,64,3,0,7000
ITEM,6,64,3,0,3470
ITEM,6,64,3,3470,3470
BIN,2,47,4,0,10000
ITEM,4,47,4,0,8369
BIN,2,174,5,0,10000
ITEM,6,174,5,0,3470
ITEM,5,174,5,3470,3236
ITEM,5,174,5,6706,3236
BIN,2,1,6,0,10000
ITEM,3,1,6,0,3589
ITEM,8,1,6,3589,365
ITEM,1,1,6,3954,739
ITEM,1,1,6,4693,739
ITEM,1,1,6,5432,739
ITEM,3,1,6,6171,3589
BIN,2,87,7,0,10000
ITEM,8,87,7,0,365
ITEM,8,87,7,365,365
ITEM,8,87,7,730,365
ITEM,8,87,7,1095,365
ITEM,8,87,7,1460,365
ITEM,8,87,7,1825,365
ITEM,3,87,7,2190,3589
ITEM,3,87,7,5779,3589
ITEM,8,87,7,9368,365
BIN,2,54,8,0,10000
ITEM,3,54,8,0,3589
ITEM,3,54,8,3589,3589
BIN,2,1,9,0,10000
ITEM,8,1,9,0,365
ITEM,4,1,9,365,8369
BIN,2,1,10,0,10000
ITEM,3,1,10,0,3589
ITEM,2,1,10,3589,4624
ITEM,8,1,10,8213,365
ITEM,8,1,10,8578,365
ITEM,1,1,10,8943,739
BIN,1,1,11,0,7000
ITEM,3,1,11,0,3589
