ID,WIDTH,HEIGHT,GROUP
0,4,11,0
1,3,10,0
2,2,14,0
3,3,24,1
4,3,18,1
5,3,15,1
6,3,12,1
7,3,7,1
8,3,21,2
9,6,7,3
10,4,22,3
11,4,11,3
12,4,6,3
13,3,6,3
14,3,11,4
15,6,8,5
16,6,8,5
17,5,6,5
18,3,5,5
19,4,9,6
20,4,7,6
21,3,5,6
22,2,24,6
23,2,8,6
24,4,17,7
25,12,5,8
26,5,12,8
27,4,5,8
28,2,9,8
29,12,7,9
30,8,7,9
31,4,6,9
32,2,4,9
33,6,7,10
34,5,12,10
35,5,8,10
36,5,5,10
37,3,16,10
38,3,14,11
39,3,12,11
40,6,11,12
41,4,21,12
42,4,9,12
43,12,6,13
44,6,5,13
45,4,21,14
46,4,5,14
47,4,4,14
48,3,22,14
49,3,22,14
50,10,4,15
51,9,8,15
52,6,6,15
53,3,6,15
54,2,7,15
55,6,5,16
56,4,5,16
57,10,5,17
58,3,14,17
59,3,11,17
60,3,5,17
61,3,5,17
62,5,9,18
63,5,9,18
64,4,4,18
65,3,6,18
66,3,6,19
67,10,7,20
68,4,9,20
69,2,4,20
70,4,6,21
71,3,6,22
72,2,5,22
73,6,9,23
74,6,8,23
75,5,8,23
76,2,16,23
77,2,4,23
78,11,4,24
79,9,7,24
80,5,6,24
81,4,19,24
82,4,7,24
83,8,6,25
84,2,21,25
85,2,8,25
86,9,7,26
87,8,6,26
88,5,12,26
89,4,6,26
90,3,17,26
91,8,6,27
92,4,11,27
93,3,19,27
94,3,11,27
95,4,10,28
96,3,15,28
97,3,9,28
98,2,10,28
99,9,7,29
100,4,14,29
101,3,6,29
102,3,5,29
103,2,12,29
104,7,6,30
105,5,6,30
106,4,17,30
107,4,11,30
108,3,4,30
109,11,7,31
110,4,18,31
111,4,8,31
112,3,20,31
113,2,15,31
