ID,WIDTH,HEIGHT,GROUP
0,9,7,0
1,4,22,0
2,4,9,0
3,3,8,0
4,6,7,1
5,4,12,1
6,3,21,1
7,2,11,1
8,2,9,1
9,6,4,2
10,3,20,2
11,3,16,2
12,3,6,2
13,3,14,3
14,3,5,3
15,8,7,4
16,6,10,4
17,7,8,5
18,6,6,5
19,4,8,5
20,3,10,5
21,2,5,5
22,7,6,6
23,5,7,6
24,5,6,7
25,4,7,7
26,4,6,7
27,4,5,7
28,10,6,8
29,3,7,8
30,11,7,9
31,10,7,9
32,3,7,9
33,3,5,9
34,2,8,9
35,4,5,10
36,8,6,11
37,8,6,11
38,6,11,11
39,3,12,11
40,3,8,11
41,10,5,12
42,5,12,12
43,2,9,12
44,5,7,13
45,4,20,13
46,4,5,13
47,3,5,13
48,2,10,13
49,6,5,14
50,2,7,14
51,6,6,15
52,4,12,15
53,3,4,15
54,5,10,16
55,3,19,16
56,2,9,16
57,10,7,17
58,6,5,17
59,4,7,17
60,4,7,17
61,3,5,17
62,5,7,18
63,3,14,18
64,3,8,18
65,2,16,18
66,11,6,19
67,8,6,19
68,5,12,19
69,4,9,19
70,4,6,19
71,4,11,20
72,4,10,20
73,4,5,20
74,3,20,20
75,2,10,20
76,9,5,21
77,4,14,21
78,4,7,21
79,3,10,21
80,3,6,21
81,8,5,22
82,7,7,22
83,5,7,22
84,4,8,22
85,4,6,23
86,3,13,24
87,2,7,25
88,5,7,26
89,4,12,26
90,3,7,26
91,2,11,26
92,10,5,27
93,2,10,27
94,4,15,28
95,5,7,29
96,3,6,29
97,9,7,30
98,6,8,30
99,4,7,31
100,3,5,31
101,2,5,31
