        20       100       100
      1118        26        43         4
       494        26        19        15
      1110        37        30         5
      1190        35        34         2
       693        33        21         5
      1287        33        39         3
       345        23        15        10
      1056        22        48         2
       377        29        13         8
       345        15        23        22
      1116        31        36         5
       544        16        34        10
       928        32        29         2
       210        15        14        34
       672        21        32        12
      1050        25        42         7
      1178        38        31         4
      1044        29        36         5
      1680        40        42         1
      1034        22        47         1
