        20       100       100
       198        11        18        27
       625        25        25        15
       684        36        19         5
       644        14        46         1
      1440        40        36         4
       684        19        36         6
       638        22        29         1
       352        32        11        11
      1496        34        44         3
       957        29        33         1
      1638        39        42         3
       532        38        14        10
      1551        33        47         4
      1927        41        47         2
       682        22        31         6
      1155        35        33         5
       684        19        36         7
       224        16        14        20
       726        22        33        11
      1353        41        33         5
