        20       100       100
       675        27        25         7
      1247        29        43         5
       612        18        34         8
       819        39        21         3
       234        18        13         4
      1849        43        43         4
       792        33        24         6
       416        16        26        15
       756        28        27         9
       986        34        29         5
       432        36        12        13
       690        15        46         4
      2303        49        47         4
       460        10        46         2
       805        35        23         6
       310        31        10         3
       418        11        38         7
       621        23        27        12
      1617        49        33         5
      1152        24        48         4
