ID,WIDTH,HEIGHT,COPIES
0,277,242,83
1,233,177,51
2,182,216,30
3,147,134,19
4,213,127,29
5,315,212,97
6,261,175,24
7,210,281,85
8,243,256,36
9,159,314,74
10,217,147,87
11,260,349,18
12,222,199,47
13,296,127,69
14,263,302,23
15,226,250,13
16,264,344,54
17,237,179,62
18,245,137,42
19,137,328,40
20,321,154,45
21,200,174,46
22,270,128,11
23,299,179,13
24,165,370,72
25,198,182,3
26,155,295,12
27,278,219,85
28,184,155,53
29,187,270,32
30,208,293,44
31,261,204,8
32,344,168,37
33,213,135,19
34,362,162,10
35,362,374,84
36,237,322,64
37,281,308,58
38,155,344,68
39,210,163,51
40,325,225,72
41,360,225,71
42,346,347,92
43,131,144,82
44,284,284,70
45,262,228,10
46,146,178,40
47,254,164,10
48,332,238,42
49,313,304,76
