ID,WIDTH,HEIGHT,GROUP
0,34,24,0
1,14,23,1
2,32,22,2
3,39,29,3
4,37,27,4
5,34,24,5
6,11,19,6
7,36,26,7
8,21,31,8
9,18,29,9
10,34,24,10
11,27,17,11
12,24,15,12
13,24,15,13
14,23,33,14
15,34,24,15
16,25,16,16
17,36,26,17
18,17,9,18
19,38,28,19
20,35,25,20
21,11,19,21
22,21,31,22
23,32,22,23
24,18,29,24
25,24,15,25
26,14,23,26
27,43,31,27
28,43,31,28
29,43,31,29
30,14,23,29
31,23,33,30
32,11,19,31
33,41,30,32
34,36,26,32
35,27,17,32
36,38,28,33
37,21,31,34
38,12,21,35
39,23,33,36
40,14,23,37
41,39,29,38
42,38,28,38
43,25,16,39
44,37,27,40
45,36,26,40
46,35,25,40
47,25,16,40
48,12,21,40
49,43,31,41
50,41,30,41
51,39,29,41
52,11,19,41
53,25,16,42
54,18,29,43
55,12,21,44
56,23,33,45
57,39,29,46
58,37,27,47
59,35,25,47
60,32,22,47
61,38,28,48
