ID,WIDTH,HEIGHT,GROUP
0,11,21,0
1,4,4,1
2,47,9,1
3,14,10,2
4,35,7,3
5,7,20,4
6,5,9,4
7,6,20,5
8,28,15,5
9,7,2,5
10,22,7,6
11,23,49,6
12,28,5,6
13,24,35,6
14,50,24,7
15,8,46,8
16,31,20,8
17,10,60,8
18,15,7,8
19,110,16,8
20,35,11,9
21,37,29,9
22,5,1,10
23,29,16,10
24,33,7,10
25,13,56,10
26,34,102,11
27,19,21,11
28,12,7,12
29,10,2,13
30,2,4,13
31,4,18,14
32,56,19,14
33,23,25,15
34,30,42,15
35,8,2,15
36,9,35,16
37,18,5,16
38,18,15,16
39,36,14,17
40,11,7,17
41,2,10,17
42,14,6,17
43,21,55,18
44,4,14,19
45,27,94,19
46,47,12,19
47,4,5,19
48,14,4,19
49,12,75,20
50,8,11,20
51,20,21,20
52,56,9,21
53,4,11,21
54,16,68,22
55,13,34,22
56,7,33,22
57,22,64,23
58,27,8,23
59,18,3,23
60,36,12,23
61,7,21,24
62,2,2,24
63,18,116,25
64,41,27,25
65,7,11,25
66,55,15,25
67,12,8,25
68,7,11,26
69,16,14,26
70,7,22,26
71,4,25,27
72,8,3,27
73,13,10,28
74,8,5,28
75,5,21,29
76,6,1,29
77,65,17,30
78,11,12,30
79,22,56,31
80,13,6,31
81,3,15,31
82,14,11,31
83,11,12,32
84,6,5,32
85,5,3,32
86,4,1,32
87,16,41,33
88,4,24,33
89,4,25,33
90,2,10,33
91,12,27,34
92,13,4,34
93,22,8,34
94,5,12,35
95,13,9,36
96,6,22,37
