ID,WIDTH,HEIGHT,GROUP
0,17,41,0
1,17,25,0
2,8,7,0
3,4,8,0
4,35,11,0
5,4,17,1
6,3,20,1
7,23,9,1
8,10,12,1
9,6,13,1
10,3,4,2
11,48,13,3
12,10,32,3
13,7,2,3
14,7,27,4
15,30,10,5
16,4,2,5
17,8,36,6
18,26,7,6
19,17,11,6
20,67,16,6
21,16,3,6
22,22,14,7
23,10,38,7
24,18,5,7
25,25,5,8
26,9,2,8
27,32,24,8
28,1,4,8
29,28,9,8
30,18,90,9
31,5,10,9
32,7,10,9
33,24,23,10
34,11,44,11
35,4,26,11
36,10,12,11
37,1,1,12
38,7,9,12
39,15,63,13
40,3,18,13
41,87,30,13
42,6,11,14
43,17,45,15
44,18,11,15
45,23,9,15
46,21,48,15
47,55,8,15
48,22,22,15
49,5,16,16
50,4,1,16
51,35,11,16
52,12,13,17
53,16,16,17
54,74,26,18
55,9,16,18
56,8,32,18
57,28,40,19
58,8,3,19
59,12,30,20
60,7,29,20
61,20,4,20
62,9,6,21
63,19,106,22
64,20,5,22
65,66,11,22
66,108,19,23
67,79,17,23
68,33,5,23
69,47,16,23
70,22,8,24
71,12,10,25
72,31,11,26
73,13,13,27
74,5,26,27
75,82,12,28
76,1,6,29
77,5,13,29
78,40,9,29
79,8,12,30
80,3,13,30
81,9,11,30
82,14,73,31
83,63,18,31
84,2,7,31
85,9,12,32
86,22,6,33
87,8,20,33
88,10,20,34
89,14,9,34
90,49,14,34
91,39,8,34
92,49,15,35
93,7,19,35
94,23,89,36
95,25,22,36
96,35,20,37
