ID,WIDTH,HEIGHT,GROUP
0,50,41,0
1,5,10,0
2,24,13,0
3,15,8,0
4,34,51,0
5,16,3,0
6,37,57,1
7,4,8,1
8,16,63,2
9,27,53,2
10,58,29,2
11,27,23,2
12,26,20,2
13,93,20,3
14,18,74,3
15,29,26,3
16,32,9,4
17,45,11,4
18,57,15,4
19,7,18,5
20,12,6,5
21,10,30,6
22,11,7,6
23,23,11,6
24,21,18,7
25,15,72,7
26,6,11,8
27,55,52,8
28,48,23,9
29,49,86,9
30,9,61,9
31,26,4,10
32,18,20,11
33,33,17,12
34,23,18,12
35,31,12,12
36,20,20,12
37,17,33,13
38,25,77,14
39,14,41,14
40,64,14,15
41,38,21,15
42,54,10,15
43,23,4,15
44,59,19,15
45,28,71,16
46,5,12,17
47,12,4,17
48,26,31,18
