ID,PROFIT,WIDTH,HEIGHT,COPIES
0,741,39,19,3
1,385,11,35,7
2,1521,39,39,3
3,1628,37,44,2
4,336,16,21,1
5,1170,39,30,4
6,736,23,32,4
7,2112,44,48,4
8,1504,47,32,4
9,323,17,19,13
10,527,31,17,1
11,532,38,14,2
12,1591,37,43,3
13,1824,38,48,4
14,180,10,18,16
15,348,29,12,6
16,600,25,24,5
17,170,10,17,31
18,348,12,29,18
19,2162,47,46,3
20,897,39,23,4
21,840,20,42,5
22,407,37,11,18
23,588,42,14,10
24,690,46,15,1
25,1520,38,40,2
26,504,24,21,13
27,390,39,10,9
28,143,11,13,37
29,1440,36,40,4
30,1230,30,41,2
31,1221,37,33,2
32,1755,45,39,1
33,252,21,12,24
34,1089,33,33,2
35,696,29,24,8
36,735,15,49,7
37,1890,45,42,2
38,480,16,30,9
39,425,25,17,17
40,495,33,15,17
41,810,27,30,1
42,875,35,25,2
43,468,12,39,4
44,697,17,41,6
45,2024,46,44,1
46,380,19,20,9
47,1591,37,43,1
48,1296,36,36,3
49,1764,42,42,2
