ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1295,37,35,4
1,882,42,21,5
2,1372,28,49,5
3,897,23,39,4
4,816,48,17,8
5,492,41,12,12
6,1372,49,28,6
7,495,33,15,2
8,1886,46,41,1
9,468,18,26,9
10,1932,42,46,4
11,1120,32,35,2
12,589,19,31,5
13,252,12,21,17
14,880,22,40,3
15,1104,46,24,8
16,1728,48,36,4
17,407,11,37,16
18,533,13,41,7
19,418,19,22,9
20,1035,45,23,6
21,920,23,40,6
22,952,28,34,2
23,1147,31,37,5
24,2208,48,46,2
25,352,11,32,12
26,308,14,22,26
27,987,47,21,7
28,817,19,43,6
29,611,47,13,10
30,451,41,11,7
31,1280,40,32,6
32,432,24,18,1
33,1440,45,32,6
34,1794,46,39,4
35,966,23,42,7
36,1452,33,44,1
37,378,18,21,8
38,989,43,23,3
39,882,42,21,4
40,342,19,18,11
41,1880,40,47,3
42,1247,43,29,1
43,2156,49,44,3
44,1271,41,31,5
45,700,28,25,9
46,512,16,32,6
47,357,17,21,10
48,960,48,20,6
49,1102,29,38,3
