ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1014,26,39,6
1,1978,43,46,3
2,2107,43,49,3
3,527,31,17,9
4,140,10,14,21
5,806,26,31,1
6,1677,43,39,2
7,624,16,39,6
8,506,46,11,10
9,336,16,21,5
10,629,17,37,8
11,720,40,18,6
12,435,15,29,16
13,240,12,20,2
14,416,16,26,6
15,459,27,17,7
16,987,21,47,2
17,220,10,22,19
18,400,40,10,20
19,595,35,17,3
20,1296,27,48,4
21,1363,29,47,5
22,1274,49,26,2
23,533,41,13,2
24,912,24,38,3
25,594,22,27,10
26,725,25,29,3
27,656,41,16,10
28,165,11,15,31
29,624,24,26,1
30,416,13,32,17
31,165,15,11,49
32,154,14,11,11
33,672,21,32,5
34,2208,46,48,1
35,812,28,29,1
36,598,26,23,6
37,459,27,17,6
38,2352,48,49,2
39,1763,43,41,3
40,819,39,21,2
41,1102,29,38,3
42,616,14,44,4
43,275,25,11,18
44,882,42,21,7
45,1560,39,40,1
46,225,15,15,15
47,1400,40,35,3
48,1880,40,47,2
49,1440,40,36,2
