ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1032,43,24,1
1,1353,41,33,4
2,1176,28,42,5
3,1763,41,43,2
4,160,10,16,36
5,672,32,21,5
6,850,34,25,3
7,648,36,18,3
8,312,26,12,9
9,1505,43,35,4
10,506,22,23,9
11,504,14,36,3
12,846,18,47,1
13,792,44,18,1
14,340,17,20,17
15,672,32,21,6
16,451,41,11,13
17,841,29,29,4
18,510,17,30,5
19,875,25,35,4
20,1127,49,23,7
21,616,22,28,9
22,700,35,20,2
23,882,42,21,1
24,1176,24,49,7
25,1505,35,43,4
26,2303,47,49,3
27,836,19,44,4
28,1189,29,41,5
29,748,17,44,5
30,1739,47,37,2
31,1428,34,42,4
32,1215,45,27,1
33,361,19,19,2
34,1323,49,27,5
35,1862,49,38,2
36,392,28,14,7
37,1880,47,40,4
38,1176,24,49,3
39,840,35,24,5
40,1680,35,48,4
41,338,26,13,5
42,651,31,21,3
43,1260,28,45,5
44,160,16,10,12
45,1440,48,30,5
46,1085,31,35,6
47,1632,34,48,1
48,1452,33,44,6
49,864,18,48,4
