ID,PROFIT,WIDTH,HEIGHT,COPIES
0,702,27,26,6
1,1540,35,44,3
2,792,36,22,7
3,1334,46,29,5
4,391,17,23,9
5,756,27,28,6
6,390,39,10,16
7,750,25,30,11
8,700,20,35,3
9,630,30,21,7
10,396,11,36,7
11,384,32,12,12
12,1764,49,36,1
13,420,12,35,5
14,483,21,23,1
15,1804,41,44,1
16,504,42,12,6
17,1110,37,30,3
18,564,47,12,14
19,504,14,36,5
20,204,12,17,34
21,546,42,13,5
22,1247,29,43,1
23,884,34,26,6
24,1323,49,27,3
25,132,12,11,52
26,480,24,20,7
27,700,25,28,5
28,390,26,15,15
29,799,17,47,2
30,385,35,11,18
31,435,29,15,12
32,400,16,25,5
33,819,39,21,1
34,912,24,38,6
35,660,30,22,8
36,1804,41,44,2
37,380,38,10,12
38,1176,28,42,2
39,2112,44,48,1
40,1512,36,42,2
41,1296,36,36,3
42,363,11,33,17
43,384,32,12,24
44,594,22,27,4
45,1344,48,28,1
46,360,30,12,13
47,960,20,48,3
48,682,22,31,6
49,999,27,37,4
