ID,PROFIT,WIDTH,HEIGHT,COPIES
0,598,13,46,1
1,756,42,18,5
2,1320,33,40,5
3,624,16,39,11
4,480,32,15,18
5,1677,43,39,2
6,936,24,39,8
7,480,12,40,11
8,768,24,32,12
9,250,10,25,18
10,363,11,33,3
11,690,30,23,12
12,800,25,32,11
13,759,33,23,7
14,675,45,15,12
15,660,22,30,5
16,893,47,19,9
17,444,12,37,16
18,377,29,13,15
19,874,38,23,6
20,320,16,20,25
21,1776,48,37,1
22,1020,30,34,1
23,1911,39,49,3
24,156,12,13,52
25,459,17,27,7
26,945,35,27,3
27,1462,34,43,2
28,450,30,15,11
29,1248,32,39,5
30,868,31,28,7
31,750,25,30,10
32,1305,45,29,6
33,690,30,23,4
34,611,13,47,8
35,902,22,41,7
36,660,20,33,1
37,688,43,16,11
38,1599,39,41,2
39,504,36,14,1
40,640,40,16,5
41,738,18,41,4
42,783,27,29,9
43,594,18,33,11
44,1444,38,38,3
45,598,46,13,8
46,1044,36,29,2
47,299,23,13,28
48,903,21,43,6
49,1258,37,34,3
