ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2091,51,41,2
1,2448,51,48,3
2,1365,39,35,4
3,1638,63,26,4
4,1056,33,32,1
5,3050,61,50,1
6,4270,70,61,1
7,3744,52,72,2
8,1952,32,61,3
9,2160,40,54,3
10,1680,56,30,2
11,2356,62,38,3
12,3360,70,48,1
13,2772,42,66,4
14,1768,26,68,2
15,2176,34,64,3
16,1408,44,32,4
17,2028,52,39,2
18,2704,52,52,3
19,1924,74,26,2
20,3080,44,70,4
21,1862,49,38,4
22,1800,72,25,4
23,1517,37,41,4
24,2516,68,37,4
25,2272,71,32,2
26,1560,39,40,2
27,1612,31,52,2
28,2852,62,46,4
29,2967,69,43,1
30,3504,48,73,2
31,2006,59,34,3
32,4818,73,66,2
33,1848,33,56,3
34,3933,57,69,2
35,1924,74,26,3
36,3672,54,68,4
37,2596,59,44,3
38,1269,27,47,2
39,1470,30,49,1
40,2560,40,64,2
41,2812,74,38,4
42,2448,34,72,4
43,2116,46,46,4
44,1736,56,31,1
45,1050,42,25,3
46,925,37,25,3
47,2442,66,37,4
48,4307,59,73,1
49,3080,55,56,4
