ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1720,43,40,3
1,4148,68,61,3
2,4356,66,66,1
3,1053,27,39,3
4,1980,66,30,2
5,2548,52,49,3
6,1107,41,27,1
7,3774,51,74,2
8,1848,44,42,3
9,2624,64,41,4
10,2613,39,67,4
11,1248,48,26,4
12,2968,56,53,1
13,2898,42,69,4
14,1196,46,26,2
15,1216,32,38,3
16,700,25,28,4
17,2065,35,59,2
18,2756,52,53,4
19,1700,34,50,1
20,2010,30,67,3
21,1600,25,64,3
22,2960,40,74,2
23,1650,33,50,2
24,4752,72,66,1
25,702,27,26,2
26,1450,29,50,4
27,2706,41,66,4
28,3796,52,73,4
29,2046,62,33,2
30,1798,58,31,4
31,3850,55,70,4
32,1107,27,41,1
33,2304,72,32,4
34,1036,28,37,3
35,2688,42,64,2
36,3763,53,71,2
37,4248,59,72,1
38,1650,33,50,4
39,1505,43,35,3
40,2176,64,34,1
41,2139,69,31,3
42,2993,41,73,1
43,2040,30,68,3
44,1312,41,32,4
45,2680,40,67,3
46,2964,52,57,3
47,1482,38,39,4
48,4536,72,63,2
49,4680,65,72,3
