ID,PROFIT,WIDTH,HEIGHT,COPIES
0,3774,74,51,1
1,1650,30,55,4
2,2343,71,33,1
3,2288,52,44,4
4,2747,41,67,4
5,832,32,26,3
6,1271,31,41,4
7,2448,68,36,2
8,4026,66,61,1
9,1984,31,64,2
10,4154,62,67,4
11,4355,65,67,4
12,3650,73,50,2
13,1215,45,27,3
14,2805,51,55,1
15,1566,58,27,1
16,1836,68,27,2
17,2409,33,73,1
18,1596,28,57,3
19,2856,68,42,3
20,1856,64,29,2
21,4480,70,64,3
22,2784,58,48,4
23,2124,36,59,2
24,2881,67,43,1
25,3410,55,62,1
26,2254,49,46,4
27,3256,44,74,2
28,988,38,26,1
29,900,25,36,4
30,1155,35,33,4
31,3599,61,59,4
32,1428,28,51,2
33,3010,70,43,2
34,2142,51,42,3
35,1232,44,28,2
36,2920,73,40,2
37,837,27,31,1
38,4012,68,59,4
39,1827,29,63,3
40,3484,67,52,4
41,1368,38,36,1
42,1932,46,42,2
43,2106,54,39,2
44,725,29,25,4
45,2520,35,72,3
46,2016,42,48,2
47,3168,48,66,1
48,3510,54,65,2
49,3700,74,50,1
