ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2592,48,54,4
1,1764,42,42,1
2,2077,67,31,1
3,1760,32,55,1
4,1988,28,71,4
5,3905,71,55,2
6,2604,62,42,3
7,1749,53,33,1
8,3712,58,64,2
9,1755,45,39,2
10,2772,63,44,1
11,1848,28,66,3
12,1593,59,27,2
13,2376,66,36,4
14,2552,44,58,3
15,1625,65,25,3
16,1755,39,45,1
17,1222,26,47,1
18,4290,65,66,3
19,1554,37,42,4
20,1404,26,54,4
21,3808,68,56,4
22,1600,32,50,1
23,1827,29,63,2
24,2400,50,48,3
25,4118,71,58,3
26,3055,47,65,4
27,1410,47,30,2
28,1600,32,50,2
29,1482,57,26,1
30,1430,55,26,1
31,2072,56,37,2
32,1632,48,34,3
33,1505,43,35,4
34,4588,74,62,4
35,2115,45,47,4
36,3835,59,65,2
37,1632,32,51,4
38,1378,53,26,1
39,2145,65,33,1
40,2464,56,44,1
41,2256,48,47,2
42,2862,54,53,3
43,1848,44,42,3
44,3843,63,61,3
45,2880,48,60,1
46,841,29,29,1
47,2664,36,74,4
48,4047,57,71,2
49,1980,66,30,3
