ID,WIDTH,HEIGHT,COPIES
0,220,173,1
1,151,22,9
2,289,30,3
3,46,92,9
4,125,27,8
5,264,30,1
6,125,55,3
7,213,78,4
8,172,106,7
9,260,128,8
10,285,124,2
11,153,34,4
12,174,121,3
13,282,172,3
14,230,73,4
15,167,27,4
16,46,77,6
17,66,82,6
18,308,126,5
19,96,118,7
20,266,143,1
21,229,23,8
22,258,118,1
23,49,59,3
24,88,23,7
25,210,104,9
26,221,150,4
27,363,190,1
28,75,99,5
29,345,63,7
30,226,71,1
31,289,221,5
32,50,68,6
33,252,143,7
34,280,201,9
35,279,158,5
36,277,100,4
37,170,99,9
38,255,78,5
39,131,247,9
40,356,52,2
41,297,44,3
42,279,73,4
43,118,226,4
44,117,216,8
45,320,225,3
46,66,35,9
47,359,143,8
48,341,96,5
49,129,248,5
50,297,124,3
51,189,50,4
52,110,141,1
53,194,130,8
54,314,34,6
55,216,138,7
56,128,66,7
57,188,44,8
58,58,88,6
59,181,38,2
60,100,20,5
61,209,91,4
62,111,43,7
63,123,56,3
64,119,24,9
65,157,36,6
66,101,86,1
67,57,48,3
68,143,40,4
69,100,75,8
70,73,63,9
71,79,89,6
72,47,62,6
73,189,36,1
74,42,31,6
75,53,57,7
76,113,38,3
77,30,66,9
78,116,90,7
79,105,73,5
80,209,54,7
81,111,45,5
82,49,56,5
83,175,79,4
84,158,73,6
85,100,179,9
86,150,227,4
87,83,181,8
88,68,298,5
89,23,107,4
90,41,174,2
91,101,236,6
92,70,78,2
93,89,104,2
94,28,279,5
95,89,249,3
96,55,236,2
97,129,287,3
98,136,236,2
99,171,117,2
100,74,309,6
101,60,230,6
102,26,92,9
103,28,217,1
104,55,284,6
105,64,82,3
106,89,129,7
107,154,54,9
108,126,172,9
109,146,138,4
110,79,133,8
111,29,304,2
112,174,200,8
113,148,115,3
114,60,207,8
115,135,231,9
116,171,82,8
117,82,263,8
118,109,340,8
119,131,350,6
120,40,135,4
121,146,328,1
122,38,297,7
123,106,149,8
124,138,235,5
125,128,51,1
126,175,119,3
