ID,WIDTH,HEIGHT,COPIES
0,324,27,9
1,111,20,8
2,358,13,6
3,74,43,6
4,190,19,3
5,178,37,2
6,254,21,7
7,57,31,3
8,110,7,6
9,172,25,5
10,158,39,9
11,311,39,4
12,158,18,7
13,69,32,6
14,59,28,5
15,345,23,7
16,210,13,5
17,339,20,9
18,332,24,2
19,104,46,3
20,138,12,7
21,212,32,5
22,320,40,1
23,174,14,2
24,343,37,1
25,139,40,3
26,157,19,3
27,360,58,4
28,337,19,6
29,59,55,3
30,319,53,3
31,215,7,7
32,238,14,6
33,243,32,4
34,213,18,6
35,214,34,4
36,328,50,6
37,205,32,9
38,290,350,4
39,328,292,3
40,240,206,1
41,246,126,9
42,250,279,7
43,71,353,9
44,67,127,9
45,209,275,1
46,317,264,6
47,119,228,2
48,331,50,4
49,138,163,7
50,60,339,2
51,187,298,1
52,73,104,7
53,164,123,8
54,250,189,5
55,228,143,5
56,154,345,5
57,70,297,4
58,198,376,8
59,170,100,7
60,295,292,6
61,238,177,7
62,195,187,3
63,252,132,5
64,313,148,6
65,175,162,6
66,44,206,5
67,164,366,6
68,161,339,9
69,62,81,5
70,304,165,2
71,284,302,6
72,261,376,6
73,183,80,4
74,224,163,2
75,212,366,8
76,46,75,6
77,66,158,5
78,179,207,7
79,314,98,2
80,96,107,1
81,320,380,3
82,211,82,3
83,252,53,6
84,74,183,6
85,274,72,1
86,65,240,7
87,229,321,4
88,265,280,7
