ID,PROFIT,WIDTH,HEIGHT,COPIES
0,462,33,14,13
1,273,13,21,12
2,884,34,26,4
3,1395,45,31,3
4,297,11,27,18
5,528,33,16,17
6,1886,41,46,4
7,875,25,35,5
8,1040,40,26,3
9,1120,40,28,2
10,1050,30,35,6
11,552,24,23,14
12,418,11,38,10
13,432,27,16,5
14,580,29,20,1
15,656,16,41,4
16,943,23,41,6
17,968,22,44,5
18,342,19,18,25
19,527,31,17,6
20,1128,24,47,2
21,1344,32,42,1
22,1295,35,37,2
23,286,13,22,21
24,312,26,12,12
25,616,44,14,9
26,1406,38,37,3
27,1024,32,32,2
28,540,20,27,11
29,480,10,48,7
30,703,19,37,3
31,588,12,49,3
32,494,13,38,13
33,552,23,24,2
34,600,40,15,12
35,602,43,14,7
36,1196,26,46,6
37,1012,22,46,8
38,1092,26,42,6
39,828,46,18,8
